Timestamp_s,Latency_ms,Status
0.013,284.68,200
0.016,309.84,200
0.005,476.74,200
0.008,521.74,200
0.002,554.64,200
0.020,543.24,200
0.336,428.51,200
0.540,257.22,200
0.016,917.18,200
0.573,458.22,200
0.017,1071.25,200
0.808,295.52,200
1.041,304.21,200
0.307,1051.92,200
1.113,297.81,200
1.369,137.13,200
0.492,1066.55,200
1.517,102.17,200
1.629,101.40,200
0.566,1394.19,200
1.971,104.67,200
0.774,1377.67,200
2.162,104.70,200
0.943,1588.24,200
2.542,108.18,200
1.098,1648.63,200
2.757,103.26,200
1.356,1736.54,200
3.102,100.66,200
1.421,1977.65,200
3.409,105.20,200
1.569,2049.33,200
3.628,100.91,200
1.740,2245.89,200
3.996,105.34,200
2.085,2177.52,200
4.273,103.01,200
2.277,2278.82,200
4.566,103.53,200
2.660,2199.34,200
4.870,107.23,200
2.871,2307.96,200
5.189,102.77,200
3.213,2246.37,200
5.470,106.29,200
3.524,2218.27,200
5.753,104.13,200
3.739,2302.73,200
6.052,105.42,200
4.112,2175.89,200
6.298,103.23,200
4.386,2093.00,200
6.489,104.11,200
4.679,2187.43,200
4.987,1946.54,200
6.891,104.94,200
7.006,106.60,200
5.302,2094.77,200
5.586,1860.82,200
7.406,101.77,200
7.518,105.50,200
5.867,2055.05,200
6.168,1786.64,200
7.932,104.87,200
8.047,105.59,200
6.411,2000.32,200
6.604,1825.17,200
8.422,103.22,200
8.535,104.26,200
6.944,1744.47,200
7.123,1572.91,200
8.698,101.28,200
8.810,104.09,200
7.457,1508.07,200
7.634,1334.96,200
8.975,104.80,200
9.090,108.38,200
8.163,1129.80,200
7.964,1339.78,200
9.303,110.16,200
9.423,104.89,200
8.439,1139.68,200
8.649,929.64,200
9.589,103.89,200
9.703,101.52,200
8.924,925.89,200
8.706,1152.89,200
9.860,102.34,200
9.972,104.29,200
8.979,1148.42,200
9.208,958.12,200
10.137,101.04,200
10.249,103.32,200
9.314,1041.93,200
9.538,916.83,200
10.366,101.92,200
10.478,103.44,200
9.589,1037.37,200
9.815,885.54,200
10.636,103.16,200
9.869,976.20,200
10.749,103.20,200
10.863,102.21,200
10.087,886.93,200
10.984,102.76,200
10.177,965.33,200
10.362,880.85,200
11.152,105.24,200
11.267,102.96,200
10.465,955.10,200
10.592,896.11,200
11.430,110.34,200
10.710,940.54,200
11.550,104.26,200
11.665,105.01,200
10.855,917.08,200
11.782,112.24,200
10.975,934.98,200
11.096,919.57,200
11.920,108.93,200
12.039,103.00,200
11.253,898.73,200
12.162,102.53,200
11.380,885.57,200
12.276,102.34,200
11.498,924.85,200
12.433,106.38,200
11.661,882.65,200
11.780,864.89,200
12.554,103.55,200
12.667,102.67,200
11.905,912.27,200
12.026,874.31,200
12.827,106.68,200
12.944,104.91,200
12.152,945.59,200
12.274,908.17,200
13.108,102.69,200
13.221,100.50,200
12.389,1011.44,200
12.549,914.09,200
13.410,105.30,200
13.526,103.36,200
12.655,1023.93,200
12.780,942.88,200
13.689,106.21,200
13.805,103.34,200
12.911,999.20,200
13.059,938.24,200
13.920,103.23,200
14.033,104.68,200
13.193,999.40,200
13.331,939.23,200
14.202,108.12,200
14.321,103.01,200
13.474,951.76,200
13.639,869.27,200
14.435,104.13,200
14.550,101.58,200
13.733,969.77,200
13.919,856.46,200
14.713,115.75,200
14.839,102.71,200
14.007,942.81,200
14.148,888.76,200
14.960,102.79,200
15.073,102.19,200
14.434,876.58,200
14.281,1034.74,200
15.320,104.37,200
15.435,103.19,200
14.518,1233.95,200
15.762,108.87,200
14.661,1236.21,200
15.908,104.96,200
14.785,1371.57,200
16.167,106.79,200
14.952,1331.76,200
16.293,101.88,200
15.047,1589.36,200
16.646,105.00,200
15.185,1669.77,200
16.865,106.98,200
15.325,1895.97,200
15.548,1776.30,200
17.232,106.05,200
17.348,101.31,200
15.881,1935.71,200
16.023,1849.61,200
17.827,107.36,200
17.945,105.70,200
16.405,1988.07,200
16.284,2139.64,200
18.404,105.79,200
18.520,104.25,200
16.762,2145.75,200
16.982,1995.68,200
18.917,107.75,200
19.035,104.67,200
17.334,2075.73,200
19.420,104.92,200
17.459,2144.71,200
19.614,102.71,200
17.883,2051.46,200
19.944,120.92,200
18.061,2085.26,200
20.156,101.57,200
18.434,2114.95,200
18.634,2006.05,200
20.559,105.70,200
20.675,101.40,200
18.988,2140.23,200
19.150,2026.87,200
21.138,103.87,200
21.252,101.56,200
19.535,2138.14,200
19.727,1995.75,200
21.684,106.86,200
21.801,101.36,200
20.075,2072.94,200
22.158,104.81,200
20.268,2061.38,200
22.339,105.27,200
20.650,2010.26,200
22.670,107.54,200
20.786,2102.77,200
22.899,109.97,200
21.187,2013.28,200
23.211,104.48,200
21.364,2053.77,200
23.428,105.11,200
21.733,1980.67,200
23.723,104.01,200
21.912,2053.35,200
23.976,107.40,200
22.273,2012.71,200
24.296,104.40,200
22.455,2122.18,200
24.587,108.76,200
22.788,2031.15,200
24.829,105.05,200
23.019,2152.77,200
25.182,105.59,200
23.325,2042.18,200
25.377,106.17,200
23.543,2141.25,200
25.694,106.79,200
23.838,2038.84,200
25.886,104.06,200
24.093,2186.28,200
26.289,105.51,200
24.410,1993.68,200
26.414,102.81,200
24.706,2140.86,200
24.944,2015.21,200
26.857,106.06,200
26.973,103.55,200
25.298,2113.17,200
25.494,2003.72,200
