mode,concurrency,total_requests,success_rate,rps,avg_ms,p95_ms,p99_ms,
gateway_smart,32,6816,0.997946,28.4,1122.332,1516.308,1807.977,
gateway_smart,48,6872,0.995198,28.6333,1653.379,2387.268,2951.866,
gateway_smart,64,6584,0.986027,27.4333,2407.67,3923.041,5348.201,
gateway_smart,96,6200,0.967097,25.8333,3543.4,7072.186,10257.56,
gateway_smart,128,5656,0.934406,23.5667,5520.873,13240.662,20214.298,
gateway_strawman,32,6672,0.996703,27.8,1170.119,1593.998,1941.924,
gateway_strawman,48,6624,0.993659,27.6,1715.009,2508.337,3223.088,
gateway_strawman,64,6296,0.981258,26.2333,2511.465,4220.952,5966.226,
gateway_strawman,96,5912,0.960589,24.6333,3757.543,7627.032,11112.426,
gateway_strawman,128,5432,0.927651,22.6333,5761.797,13517.893,21897.437,
