mode,concurrency,total_requests,success_rate,rps,avg_ms,p95_ms,p99_ms,
gateway_smart,16,10121,0.994368,41.933333,379.801,626.05,824.85,
gateway_smart,24,11386,0.992271,47.075,506.505,848.867,1099.269,
gateway_smart,32,12027,0.988276,49.525,639.557,1152.363,1567.299,
gateway_smart,48,12249,0.973304,49.675,942.265,1863.361,2713.436,
gateway_smart,64,11977,0.963931,48.104167,1287.215,2786.388,4282.248,
gateway_strawman,16,9883,0.99231,40.8625,388.845,636.097,821.701,
gateway_strawman,24,11099,0.988377,45.708333,519.741,864.14,1114.101,
gateway_strawman,32,11438,0.97858,46.6375,672.368,1192.757,1593.064,
gateway_strawman,48,11380,0.95703,45.379167,1014.659,1947.475,2730.989,
gateway_strawman,64,10921,0.923359,42.016667,1412.118,2938.472,4456.63,
