timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,
0.014,SIMULATED_DATA_rr_c16_0000001,602112,round_robin,sp26-cs525-0605,200,803.79,4.86,
0.162,SIMULATED_DATA_rr_c16_0000002,602112,round_robin,sp26-cs525-0606,200,1463.93,5.786,
0.2,SIMULATED_DATA_rr_c16_0000003,602112,round_robin,sp26-cs525-0607,200,957.398,6.938,
0.4,SIMULATED_DATA_rr_c16_0000004,602112,round_robin,sp26-cs525-0608,200,486.568,5.05,
0.401,SIMULATED_DATA_rr_c16_0000005,602112,round_robin,sp26-cs525-0609,200,1944.426,6.672,
0.501,SIMULATED_DATA_rr_c16_0000006,602112,round_robin,sp26-cs525-0612,200,1632.142,5.089,
0.535,SIMULATED_DATA_rr_c16_0000007,602112,round_robin,sp26-cs525-0613,200,978.145,3.166,
0.609,SIMULATED_DATA_rr_c16_0000008,602112,round_robin,sp26-cs525-0614,200,1389.946,5.513,
0.613,SIMULATED_DATA_rr_c16_0000009,602112,round_robin,sp26-cs525-0615,200,1068.932,6.744,
0.726,SIMULATED_DATA_rr_c16_0000010,602112,round_robin,sp26-cs525-0617,200,802.393,6.414,
0.785,SIMULATED_DATA_rr_c16_0000011,602112,round_robin,sp26-cs525-0618,200,1008.159,4.826,
0.908,SIMULATED_DATA_rr_c16_0000012,602112,round_robin,sp26-cs525-0619,200,1122.118,5.646,
1.032,SIMULATED_DATA_rr_c16_0000013,602112,round_robin,sp26-cs525-0605,200,1433.629,4.625,
1.131,SIMULATED_DATA_rr_c16_0000014,602112,round_robin,sp26-cs525-0606,200,1445.605,6.752,
1.16,SIMULATED_DATA_rr_c16_0000015,602112,round_robin,sp26-cs525-0607,200,1320.588,6.227,
1.23,SIMULATED_DATA_rr_c16_0000016,602112,round_robin,sp26-cs525-0608,200,1516.73,5.355,
1.261,SIMULATED_DATA_rr_c16_0000017,602112,round_robin,sp26-cs525-0609,200,921.066,4.266,
1.346,SIMULATED_DATA_rr_c16_0000018,602112,round_robin,sp26-cs525-0612,200,1408.812,7.423,
1.583,SIMULATED_DATA_rr_c16_0000019,602112,round_robin,sp26-cs525-0613,200,1911.459,5.471,
1.638,SIMULATED_DATA_rr_c16_0000020,602112,round_robin,sp26-cs525-0614,200,956.194,7.515,
1.854,SIMULATED_DATA_rr_c16_0000021,602112,round_robin,sp26-cs525-0615,200,1359.221,6.553,
1.979,SIMULATED_DATA_rr_c16_0000022,602112,round_robin,sp26-cs525-0617,200,861.52,7.474,
2.178,SIMULATED_DATA_rr_c16_0000023,602112,round_robin,sp26-cs525-0618,200,997.502,3.683,
2.21,SIMULATED_DATA_rr_c16_0000024,602112,round_robin,sp26-cs525-0619,200,1188.627,6.088,
2.399,SIMULATED_DATA_rr_c16_0000025,602112,round_robin,sp26-cs525-0605,200,1357.206,5.869,
2.643,SIMULATED_DATA_rr_c16_0000026,602112,round_robin,sp26-cs525-0606,200,1758.878,4.467,
2.662,SIMULATED_DATA_rr_c16_0000027,602112,round_robin,sp26-cs525-0607,200,796.368,7.738,
2.779,SIMULATED_DATA_rr_c16_0000028,602112,round_robin,sp26-cs525-0608,200,833.376,6.834,
2.882,SIMULATED_DATA_rr_c16_0000029,602112,round_robin,sp26-cs525-0609,200,979.837,4.798,
2.93,SIMULATED_DATA_rr_c16_0000030,602112,round_robin,sp26-cs525-0612,200,978.017,5.951,
3.006,SIMULATED_DATA_rr_c16_0000031,602112,round_robin,sp26-cs525-0613,200,1041.975,6.969,
3.081,SIMULATED_DATA_rr_c16_0000032,602112,round_robin,sp26-cs525-0614,200,974.555,7.293,
3.101,SIMULATED_DATA_rr_c16_0000033,602112,round_robin,sp26-cs525-0615,200,1009.832,4.605,
3.257,SIMULATED_DATA_rr_c16_0000034,602112,round_robin,sp26-cs525-0617,200,942.314,4.764,
3.481,SIMULATED_DATA_rr_c16_0000035,602112,round_robin,sp26-cs525-0618,200,1123.138,6.01,
