timestamp,req_id,payload_bytes,mode,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
1773828000.01877,gs128_00001,3528,gateway_smart,sp26-cs525-0606.cs.illinois.edu,200,4709.004,3.402,,sp26-cs525-0606.cs.illinois.edu,1773828000.01877,0.000,gateway_smart
1773828000.050789,gs128_00002,3544,gateway_smart,sp26-cs525-0609.cs.illinois.edu,200,1949.476,1.219,,sp26-cs525-0609.cs.illinois.edu,1773828000.050789,0.032,gateway_smart
1773828000.101793,gs128_00003,3544,gateway_smart,sp26-cs525-0609.cs.illinois.edu,200,12205.02,2.863,,sp26-cs525-0609.cs.illinois.edu,1773828000.101793,0.083,gateway_smart
1773828000.133536,gs128_00004,3496,gateway_smart,sp26-cs525-0614.cs.illinois.edu,200,10921.976,1.765,,sp26-cs525-0614.cs.illinois.edu,1773828000.133536,0.115,gateway_smart
1773828000.187295,gs128_00005,3528,gateway_smart,sp26-cs525-0607.cs.illinois.edu,200,3266.315,3.119,,sp26-cs525-0607.cs.illinois.edu,1773828000.187295,0.169,gateway_smart
1773828000.231826,gs128_00006,3496,gateway_smart,sp26-cs525-0618.cs.illinois.edu,200,3359.315,2.154,,sp26-cs525-0618.cs.illinois.edu,1773828000.231826,0.213,gateway_smart
1773828000.273334,gs128_00007,3496,gateway_smart,sp26-cs525-0605.cs.illinois.edu,200,4470.895,2.283,,sp26-cs525-0605.cs.illinois.edu,1773828000.273334,0.255,gateway_smart
1773828000.293448,gs128_00008,3512,gateway_smart,sp26-cs525-0612.cs.illinois.edu,200,1318.051,1.783,,sp26-cs525-0612.cs.illinois.edu,1773828000.293448,0.275,gateway_smart
1773828000.356058,gs128_00009,3528,gateway_smart,sp26-cs525-0606.cs.illinois.edu,200,2942.894,1.179,,sp26-cs525-0606.cs.illinois.edu,1773828000.356058,0.337,gateway_smart
1773828000.387863,gs128_00010,3544,gateway_smart,sp26-cs525-0614.cs.illinois.edu,200,4450.277,1.396,,sp26-cs525-0614.cs.illinois.edu,1773828000.387863,0.369,gateway_smart
1773828000.406936,gs128_00011,3544,gateway_smart,sp26-cs525-0608.cs.illinois.edu,200,6057.56,3.292,,sp26-cs525-0608.cs.illinois.edu,1773828000.406936,0.388,gateway_smart
1773828000.474948,gs128_00012,3544,gateway_smart,sp26-cs525-0608.cs.illinois.edu,200,8396.307,1.593,,sp26-cs525-0608.cs.illinois.edu,1773828000.474948,0.456,gateway_smart
1773828000.509794,gs128_00013,3544,gateway_smart,sp26-cs525-0617.cs.illinois.edu,200,4910.599,1.784,,sp26-cs525-0617.cs.illinois.edu,1773828000.509794,0.491,gateway_smart
1773828000.545764,gs128_00014,3496,gateway_smart,sp26-cs525-0617.cs.illinois.edu,200,9108.822,3.445,,sp26-cs525-0617.cs.illinois.edu,1773828000.545764,0.527,gateway_smart
1773828000.595558,gs128_00015,3528,gateway_smart,sp26-cs525-0615.cs.illinois.edu,200,12253.902,4.717,,sp26-cs525-0615.cs.illinois.edu,1773828000.595558,0.577,gateway_smart
1773828000.60002,gs128_00016,3528,gateway_smart,sp26-cs525-0613.cs.illinois.edu,200,2136.81,2.541,,sp26-cs525-0613.cs.illinois.edu,1773828000.60002,0.581,gateway_smart
1773828000.644129,gs128_00017,3512,gateway_smart,sp26-cs525-0606.cs.illinois.edu,200,5072.305,1.401,,sp26-cs525-0606.cs.illinois.edu,1773828000.644129,0.625,gateway_smart
1773828000.690174,gs128_00018,3496,gateway_smart,sp26-cs525-0614.cs.illinois.edu,200,10052.182,1.48,,sp26-cs525-0614.cs.illinois.edu,1773828000.690174,0.671,gateway_smart
1773828000.751858,gs128_00019,3544,gateway_smart,sp26-cs525-0607.cs.illinois.edu,200,5325.517,1.397,,sp26-cs525-0607.cs.illinois.edu,1773828000.751858,0.733,gateway_smart
1773828000.799034,gs128_00020,3512,gateway_smart,sp26-cs525-0612.cs.illinois.edu,200,3598.803,1.542,,sp26-cs525-0612.cs.illinois.edu,1773828000.799034,0.780,gateway_smart
