timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
1715002000.000000,sim32_00000,602383,P2C,vm18,200,327.581000,1.854000,,sp26-cs525-0618.cs.illinois.edu,1715002000.000000,0.000,P2C
1715002000.015686,sim32_00001,602392,P2C,vm05,200,517.295000,1.033000,,sp26-cs525-0605.cs.illinois.edu,1715002000.015686,0.016,P2C
1715002000.033223,sim32_00002,602387,P2C,vm08,200,497.755000,1.593000,,sp26-cs525-0608.cs.illinois.edu,1715002000.033223,0.033,P2C
1715002000.050859,sim32_00003,602385,P2C,vm15,200,270.295000,2.018000,,sp26-cs525-0615.cs.illinois.edu,1715002000.050859,0.051,P2C
1715002000.071955,sim32_00004,602384,P2C,vm09,200,326.752000,0.992000,,sp26-cs525-0609.cs.illinois.edu,1715002000.071955,0.072,P2C
1715002000.091291,sim32_00005,602389,P2C,vm14,200,317.280000,2.364000,,sp26-cs525-0614.cs.illinois.edu,1715002000.091291,0.091,P2C
1715002000.101742,sim32_00006,602389,P2C,vm15,200,811.002000,1.497000,,sp26-cs525-0615.cs.illinois.edu,1715002000.101742,0.102,P2C
1715002000.119675,sim32_00007,602394,P2C,vm08,200,267.671000,0.400000,,sp26-cs525-0608.cs.illinois.edu,1715002000.119675,0.120,P2C
1715002000.144310,sim32_00008,602385,P2C,vm14,200,209.857000,0.477000,,sp26-cs525-0614.cs.illinois.edu,1715002000.144310,0.144,P2C
1715002000.157369,sim32_00009,602386,P2C,vm06,200,702.954000,0.400000,,sp26-cs525-0606.cs.illinois.edu,1715002000.157369,0.157,P2C
1715002000.177189,sim32_0000a,602393,P2C,vm07,200,257.775000,3.043000,,sp26-cs525-0607.cs.illinois.edu,1715002000.177189,0.177,P2C
1715002000.191372,sim32_0000b,602391,P2C,vm18,200,510.099000,2.629000,,sp26-cs525-0618.cs.illinois.edu,1715002000.191372,0.191,P2C
1715002000.216209,sim32_0000c,602391,P2C,vm17,200,454.835000,1.011000,,sp26-cs525-0617.cs.illinois.edu,1715002000.216209,0.216,P2C
1715002000.228091,sim32_0000d,602393,P2C,vm09,200,208.709000,2.276000,,sp26-cs525-0609.cs.illinois.edu,1715002000.228091,0.228,P2C
1715002000.247829,sim32_0000e,602388,P2C,vm14,200,385.725000,2.073000,,sp26-cs525-0614.cs.illinois.edu,1715002000.247829,0.248,P2C
1715002000.265748,sim32_0000f,602386,P2C,vm05,200,329.242000,2.691000,,sp26-cs525-0605.cs.illinois.edu,1715002000.265748,0.266,P2C
1715002000.275282,sim32_00010,602394,P2C,vm13,200,664.431000,0.400000,,sp26-cs525-0613.cs.illinois.edu,1715002000.275282,0.275,P2C
1715002000.292629,sim32_00011,602386,P2C,vm18,200,507.345000,2.655000,,sp26-cs525-0618.cs.illinois.edu,1715002000.292629,0.293,P2C
1715002000.313712,sim32_00012,602389,P2C,vm12,200,302.978000,1.285000,,sp26-cs525-0612.cs.illinois.edu,1715002000.313712,0.314,P2C
1715002000.333189,sim32_00013,602391,P2C,vm09,200,533.849000,2.834000,,sp26-cs525-0609.cs.illinois.edu,1715002000.333189,0.333,P2C
1715002000.350610,sim32_00014,602391,P2C,vm18,200,591.502000,0.834000,,sp26-cs525-0618.cs.illinois.edu,1715002000.350610,0.351,P2C
1715002000.371337,sim32_00015,602382,P2C,vm09,200,440.497000,3.327000,,sp26-cs525-0609.cs.illinois.edu,1715002000.371337,0.371,P2C
1715002000.382658,sim32_00016,602391,P2C,vm18,200,153.470000,1.696000,,sp26-cs525-0618.cs.illinois.edu,1715002000.382658,0.383,P2C
1715002000.399961,sim32_00017,602382,P2C,vm08,200,604.653000,2.758000,,sp26-cs525-0608.cs.illinois.edu,1715002000.399961,0.400,P2C
1715002000.417861,sim32_00018,602384,P2C,vm13,200,444.775000,1.620000,,sp26-cs525-0613.cs.illinois.edu,1715002000.417861,0.418,P2C
1715002000.441860,sim32_00019,602389,P2C,vm17,200,244.038000,2.198000,,sp26-cs525-0617.cs.illinois.edu,1715002000.441860,0.442,P2C
1715002000.458279,sim32_0001a,602384,P2C,vm05,200,291.481000,3.516000,,sp26-cs525-0605.cs.illinois.edu,1715002000.458279,0.458,P2C
1715002000.469349,sim32_0001b,602382,P2C,vm14,200,314.137000,0.400000,,sp26-cs525-0614.cs.illinois.edu,1715002000.469349,0.469,P2C
1715002000.493294,sim32_0001c,602389,P2C,vm06,200,494.074000,1.785000,,sp26-cs525-0606.cs.illinois.edu,1715002000.493294,0.493,P2C
1715002000.506774,sim32_0001d,602387,P2C,vm19,200,306.526000,2.168000,,sp26-cs525-0619.cs.illinois.edu,1715002000.506774,0.507,P2C
1715002000.521667,sim32_0001e,602393,P2C,vm19,200,521.174000,2.550000,,sp26-cs525-0619.cs.illinois.edu,1715002000.521667,0.522,P2C
1715002000.543473,sim32_0001f,602394,P2C,vm19,200,510.871000,3.019000,,sp26-cs525-0619.cs.illinois.edu,1715002000.543473,0.543,P2C
1715002000.560808,sim32_00020,602387,P2C,vm13,200,247.808000,2.049000,,sp26-cs525-0613.cs.illinois.edu,1715002000.560808,0.561,P2C
1715002000.581133,sim32_00021,602383,P2C,vm18,200,239.271000,3.856000,,sp26-cs525-0618.cs.illinois.edu,1715002000.581133,0.581,P2C
1715002000.595909,sim32_00022,602394,P2C,vm14,200,397.785000,0.400000,,sp26-cs525-0614.cs.illinois.edu,1715002000.595909,0.596,P2C
1715002000.617374,sim32_00023,602389,P2C,vm09,200,529.598000,1.505000,,sp26-cs525-0609.cs.illinois.edu,1715002000.617374,0.617,P2C
1715002000.635288,sim32_00024,602389,P2C,vm13,200,458.006000,2.200000,,sp26-cs525-0613.cs.illinois.edu,1715002000.635288,0.635,P2C
1715002000.647108,sim32_00025,602382,P2C,vm17,200,1196.833000,2.210000,,sp26-cs525-0617.cs.illinois.edu,1715002000.647108,0.647,P2C
1715002000.665842,sim32_00026,602389,P2C,vm05,200,330.743000,0.939000,,sp26-cs525-0605.cs.illinois.edu,1715002000.665842,0.666,P2C
1715002000.687062,sim32_00027,602384,P2C,vm19,200,358.857000,1.000000,,sp26-cs525-0619.cs.illinois.edu,1715002000.687062,0.687,P2C
1715002000.701633,sim32_00028,602391,P2C,vm07,200,676.193000,2.034000,,sp26-cs525-0607.cs.illinois.edu,1715002000.701633,0.702,P2C
1715002000.722248,sim32_00029,602389,P2C,vm09,200,292.203000,1.855000,,sp26-cs525-0609.cs.illinois.edu,1715002000.722248,0.722,P2C
1715002000.739906,sim32_0002a,602393,P2C,vm06,200,587.299000,1.673000,,sp26-cs525-0606.cs.illinois.edu,1715002000.739906,0.740,P2C
1715002000.749016,sim32_0002b,602388,P2C,vm06,200,419.512000,1.481000,,sp26-cs525-0606.cs.illinois.edu,1715002000.749016,0.749,P2C
1715002000.773439,sim32_0002c,602388,P2C,vm06,200,437.772000,1.944000,,sp26-cs525-0606.cs.illinois.edu,1715002000.773439,0.773,P2C
1715002000.790574,sim32_0002d,602389,P2C,vm12,200,419.894000,2.103000,,sp26-cs525-0612.cs.illinois.edu,1715002000.790574,0.791,P2C
1715002000.808221,sim32_0002e,602391,P2C,vm06,200,320.664000,2.290000,,sp26-cs525-0606.cs.illinois.edu,1715002000.808221,0.808,P2C
1715002000.825492,sim32_0002f,602385,P2C,vm19,200,363.885000,2.328000,,sp26-cs525-0619.cs.illinois.edu,1715002000.825492,0.825,P2C
1715002000.842978,sim32_00030,602386,P2C,vm14,200,1038.604000,1.171000,,sp26-cs525-0614.cs.illinois.edu,1715002000.842978,0.843,P2C
1715002000.865195,sim32_00031,602386,P2C,vm19,200,826.254000,0.400000,,sp26-cs525-0619.cs.illinois.edu,1715002000.865195,0.865,P2C
1715002000.878331,sim32_00032,602382,P2C,vm09,200,146.055000,2.057000,,sp26-cs525-0609.cs.illinois.edu,1715002000.878331,0.878,P2C
1715002000.893184,sim32_00033,602393,P2C,vm14,200,299.541000,0.400000,,sp26-cs525-0614.cs.illinois.edu,1715002000.893184,0.893,P2C
1715002000.910912,sim32_00034,602387,P2C,vm13,200,571.761000,1.156000,,sp26-cs525-0613.cs.illinois.edu,1715002000.910912,0.911,P2C
1715002000.928919,sim32_00035,602385,P2C,vm12,200,219.304000,1.264000,,sp26-cs525-0612.cs.illinois.edu,1715002000.928919,0.929,P2C
1715002000.951261,sim32_00036,602392,P2C,vm08,200,426.149000,1.708000,,sp26-cs525-0608.cs.illinois.edu,1715002000.951261,0.951,P2C
1715002000.961491,sim32_00037,602390,P2C,vm08,200,236.256000,1.123000,,sp26-cs525-0608.cs.illinois.edu,1715002000.961491,0.961,P2C
1715002000.987148,sim32_00038,602389,P2C,vm14,200,546.160000,1.807000,,sp26-cs525-0614.cs.illinois.edu,1715002000.987148,0.987,P2C
1715002001.000550,sim32_00039,602385,P2C,vm07,200,523.130000,3.578000,,sp26-cs525-0607.cs.illinois.edu,1715002001.000550,1.001,P2C
1715002001.010703,sim32_0003a,602389,P2C,vm19,200,365.049000,2.769000,,sp26-cs525-0619.cs.illinois.edu,1715002001.010703,1.011,P2C
1715002001.039167,sim32_0003b,602392,P2C,vm17,200,229.248000,0.478000,,sp26-cs525-0617.cs.illinois.edu,1715002001.039167,1.039,P2C
1715002001.055123,sim32_0003c,602382,P2C,vm05,200,150.429000,1.523000,,sp26-cs525-0605.cs.illinois.edu,1715002001.055123,1.055,P2C
1715002001.068996,sim32_0003d,602391,P2C,vm12,200,178.656000,2.388000,,sp26-cs525-0612.cs.illinois.edu,1715002001.068996,1.069,P2C
1715002001.088305,sim32_0003e,602389,P2C,vm09,200,272.945000,0.400000,,sp26-cs525-0609.cs.illinois.edu,1715002001.088305,1.088,P2C
1715002001.108132,sim32_0003f,602393,P2C,vm06,200,445.786000,3.302000,,sp26-cs525-0606.cs.illinois.edu,1715002001.108132,1.108,P2C
1715002001.126476,sim32_00040,602390,P2C,vm06,200,262.298000,2.325000,,sp26-cs525-0606.cs.illinois.edu,1715002001.126476,1.126,P2C
1715002001.139874,sim32_00041,602384,P2C,vm15,200,167.666000,2.450000,,sp26-cs525-0615.cs.illinois.edu,1715002001.139874,1.140,P2C
1715002001.162140,sim32_00042,602387,P2C,vm14,200,349.615000,2.221000,,sp26-cs525-0614.cs.illinois.edu,1715002001.162140,1.162,P2C
1715002001.174849,sim32_00043,602388,P2C,vm19,200,212.520000,1.064000,,sp26-cs525-0619.cs.illinois.edu,1715002001.174849,1.175,P2C
1715002001.196748,sim32_00044,602393,P2C,vm15,200,483.646000,1.956000,,sp26-cs525-0615.cs.illinois.edu,1715002001.196748,1.197,P2C
1715002001.205501,sim32_00045,602384,P2C,vm09,200,576.426000,1.827000,,sp26-cs525-0609.cs.illinois.edu,1715002001.205501,1.206,P2C
1715002001.232885,sim32_00046,602394,P2C,vm12,200,320.723000,3.010000,,sp26-cs525-0612.cs.illinois.edu,1715002001.232885,1.233,P2C
1715002001.240084,sim32_00047,602387,P2C,vm15,200,151.749000,2.651000,,sp26-cs525-0615.cs.illinois.edu,1715002001.240084,1.240,P2C
1715002001.260653,sim32_00048,602383,P2C,vm12,200,392.383000,2.075000,,sp26-cs525-0612.cs.illinois.edu,1715002001.260653,1.261,P2C
