timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
0.0,resnet_p2c_c16_0000001,610174,p2c_pewma,sp26-cs525-0606,200,74.824,6.958,,sp26-cs525-0606.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000002,610035,p2c_pewma,sp26-cs525-0614,200,129.154,4.136,,sp26-cs525-0614.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000003,610130,p2c_pewma,sp26-cs525-0618,200,74.224,7.908,,sp26-cs525-0618.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000004,609846,p2c_pewma,sp26-cs525-0617,200,127.59,7.819,,sp26-cs525-0617.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000005,609855,p2c_pewma,sp26-cs525-0607,200,75.954,5.135,,sp26-cs525-0607.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000006,609829,p2c_pewma,sp26-cs525-0605,200,103.369,6.601,,sp26-cs525-0605.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000007,610028,p2c_pewma,sp26-cs525-0615,200,138.069,5.244,,sp26-cs525-0615.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000008,610386,p2c_pewma,sp26-cs525-0613,200,101.63,6.08,,sp26-cs525-0613.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000009,610320,p2c_pewma,sp26-cs525-0612,200,123.597,6.587,,sp26-cs525-0612.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000010,610148,p2c_pewma,sp26-cs525-0607,200,147.129,8.5,,sp26-cs525-0607.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000011,610179,p2c_pewma,sp26-cs525-0609,200,136.829,5.489,,sp26-cs525-0609.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000012,609693,p2c_pewma,sp26-cs525-0605,200,181.963,3.629,,sp26-cs525-0605.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000013,609591,p2c_pewma,sp26-cs525-0618,200,130.745,6.206,,sp26-cs525-0618.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000014,610257,p2c_pewma,sp26-cs525-0608,200,111.097,8.599,,sp26-cs525-0608.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000015,609757,p2c_pewma,sp26-cs525-0606,200,157.821,6.273,,sp26-cs525-0606.cs.illinois.edu,0.0,0.000,p2c_pewma
0.0,resnet_p2c_c16_0000016,609872,p2c_pewma,sp26-cs525-0619,200,72.878,4.399,,sp26-cs525-0619.cs.illinois.edu,0.0,0.000,p2c_pewma
0.073,resnet_p2c_c16_0000017,610152,p2c_pewma,sp26-cs525-0612,200,180.181,5.093,,sp26-cs525-0612.cs.illinois.edu,0.073,0.073,p2c_pewma
0.074,resnet_p2c_c16_0000018,610366,p2c_pewma,sp26-cs525-0606,200,211.442,4.981,,sp26-cs525-0606.cs.illinois.edu,0.074,0.074,p2c_pewma
0.075,resnet_p2c_c16_0000019,610148,p2c_pewma,sp26-cs525-0619,200,57.902,6.762,,sp26-cs525-0619.cs.illinois.edu,0.075,0.075,p2c_pewma
0.076,resnet_p2c_c16_0000020,609609,p2c_pewma,sp26-cs525-0615,200,146.558,9.015,,sp26-cs525-0615.cs.illinois.edu,0.076,0.076,p2c_pewma
0.102,resnet_p2c_c16_0000021,609958,p2c_pewma,sp26-cs525-0614,200,109.277,6.843,,sp26-cs525-0614.cs.illinois.edu,0.102,0.102,p2c_pewma
0.103,resnet_p2c_c16_0000022,610316,p2c_pewma,sp26-cs525-0605,200,123.637,5.266,,sp26-cs525-0605.cs.illinois.edu,0.103,0.103,p2c_pewma
0.111,resnet_p2c_c16_0000023,610347,p2c_pewma,sp26-cs525-0619,200,178.763,5.98,,sp26-cs525-0619.cs.illinois.edu,0.111,0.111,p2c_pewma
0.124,resnet_p2c_c16_0000024,610404,p2c_pewma,sp26-cs525-0618,200,174.834,7.831,,sp26-cs525-0618.cs.illinois.edu,0.124,0.124,p2c_pewma
0.128,resnet_p2c_c16_0000025,609744,p2c_pewma,sp26-cs525-0614,200,171.622,4.634,,sp26-cs525-0614.cs.illinois.edu,0.128,0.128,p2c_pewma
0.129,resnet_p2c_c16_0000026,609982,p2c_pewma,sp26-cs525-0617,200,98.208,8.657,,sp26-cs525-0617.cs.illinois.edu,0.129,0.129,p2c_pewma
0.131,resnet_p2c_c16_0000027,609874,p2c_pewma,sp26-cs525-0608,200,122.957,7.447,,sp26-cs525-0608.cs.illinois.edu,0.131,0.131,p2c_pewma
0.133,resnet_p2c_c16_0000028,610190,p2c_pewma,sp26-cs525-0605,200,159.836,7.067,,sp26-cs525-0605.cs.illinois.edu,0.133,0.133,p2c_pewma
0.137,resnet_p2c_c16_0000029,609683,p2c_pewma,sp26-cs525-0615,200,148.475,6.278,,sp26-cs525-0615.cs.illinois.edu,0.137,0.137,p2c_pewma
0.138,resnet_p2c_c16_0000030,609765,p2c_pewma,sp26-cs525-0612,200,227.942,8.084,,sp26-cs525-0612.cs.illinois.edu,0.138,0.138,p2c_pewma
0.147,resnet_p2c_c16_0000031,610329,p2c_pewma,sp26-cs525-0608,200,169.425,7.437,,sp26-cs525-0608.cs.illinois.edu,0.147,0.147,p2c_pewma
0.158,resnet_p2c_c16_0000032,609975,p2c_pewma,sp26-cs525-0613,200,1287.683,5.682,,sp26-cs525-0613.cs.illinois.edu,0.158,0.158,p2c_pewma
0.182,resnet_p2c_c16_0000033,609769,p2c_pewma,sp26-cs525-0607,200,65.234,6.829,,sp26-cs525-0607.cs.illinois.edu,0.182,0.182,p2c_pewma
0.211,resnet_p2c_c16_0000034,610153,p2c_pewma,sp26-cs525-0615,200,112.408,8.138,,sp26-cs525-0615.cs.illinois.edu,0.211,0.211,p2c_pewma
0.223,resnet_p2c_c16_0000035,609752,p2c_pewma,sp26-cs525-0606,200,164.755,4.539,,sp26-cs525-0606.cs.illinois.edu,0.223,0.223,p2c_pewma
0.227,resnet_p2c_c16_0000036,610184,p2c_pewma,sp26-cs525-0607,200,63.512,8.639,,sp26-cs525-0607.cs.illinois.edu,0.227,0.227,p2c_pewma
0.227,resnet_p2c_c16_0000037,610234,p2c_pewma,sp26-cs525-0608,200,163.773,5.854,,sp26-cs525-0608.cs.illinois.edu,0.227,0.227,p2c_pewma
0.247,resnet_p2c_c16_0000038,609745,p2c_pewma,sp26-cs525-0618,200,98.271,5.567,,sp26-cs525-0618.cs.illinois.edu,0.247,0.247,p2c_pewma
0.253,resnet_p2c_c16_0000039,609656,p2c_pewma,sp26-cs525-0618,200,183.472,6.889,,sp26-cs525-0618.cs.illinois.edu,0.253,0.253,p2c_pewma
0.254,resnet_p2c_c16_0000040,610203,p2c_pewma,sp26-cs525-0619,200,108.182,6.936,,sp26-cs525-0619.cs.illinois.edu,0.254,0.254,p2c_pewma
0.285,resnet_p2c_c16_0000041,610200,p2c_pewma,sp26-cs525-0614,200,43.743,7.165,,sp26-cs525-0614.cs.illinois.edu,0.285,0.285,p2c_pewma
0.286,resnet_p2c_c16_0000042,609800,p2c_pewma,sp26-cs525-0605,200,96.842,6.628,,sp26-cs525-0605.cs.illinois.edu,0.286,0.286,p2c_pewma
0.29,resnet_p2c_c16_0000043,609968,p2c_pewma,sp26-cs525-0607,200,116.347,6.881,,sp26-cs525-0607.cs.illinois.edu,0.29,0.290,p2c_pewma
0.291,resnet_p2c_c16_0000044,610427,p2c_pewma,sp26-cs525-0614,200,153.664,5.775,,sp26-cs525-0614.cs.illinois.edu,0.291,0.291,p2c_pewma
0.293,resnet_p2c_c16_0000045,610278,p2c_pewma,sp26-cs525-0615,200,116.64,5.31,,sp26-cs525-0615.cs.illinois.edu,0.293,0.293,p2c_pewma
0.298,resnet_p2c_c16_0000046,610323,p2c_pewma,sp26-cs525-0617,200,68.298,5.979,,sp26-cs525-0617.cs.illinois.edu,0.298,0.298,p2c_pewma
0.299,resnet_p2c_c16_0000047,610344,p2c_pewma,sp26-cs525-0612,200,151.65,7.113,,sp26-cs525-0612.cs.illinois.edu,0.299,0.299,p2c_pewma
0.317,resnet_p2c_c16_0000048,609584,p2c_pewma,sp26-cs525-0607,200,206.347,7.535,,sp26-cs525-0607.cs.illinois.edu,0.317,0.317,p2c_pewma
0.323,resnet_p2c_c16_0000049,609726,p2c_pewma,sp26-cs525-0609,200,61.759,5.552,,sp26-cs525-0609.cs.illinois.edu,0.323,0.323,p2c_pewma
0.329,resnet_p2c_c16_0000050,609781,p2c_pewma,sp26-cs525-0605,200,182.999,7.545,,sp26-cs525-0605.cs.illinois.edu,0.329,0.329,p2c_pewma
0.345,resnet_p2c_c16_0000051,610276,p2c_pewma,sp26-cs525-0606,200,106.706,7.588,,sp26-cs525-0606.cs.illinois.edu,0.345,0.345,p2c_pewma
0.362,resnet_p2c_c16_0000052,609976,p2c_pewma,sp26-cs525-0615,200,87.009,5.333,,sp26-cs525-0615.cs.illinois.edu,0.362,0.362,p2c_pewma
0.366,resnet_p2c_c16_0000053,609875,p2c_pewma,sp26-cs525-0619,200,59.915,5.298,,sp26-cs525-0619.cs.illinois.edu,0.366,0.366,p2c_pewma
0.367,resnet_p2c_c16_0000054,609818,p2c_pewma,sp26-cs525-0606,200,188.249,7.832,,sp26-cs525-0606.cs.illinois.edu,0.367,0.367,p2c_pewma
0.383,resnet_p2c_c16_0000055,610020,p2c_pewma,sp26-cs525-0608,200,258.106,7.889,,sp26-cs525-0608.cs.illinois.edu,0.383,0.383,p2c_pewma
0.385,resnet_p2c_c16_0000056,610083,p2c_pewma,sp26-cs525-0617,200,92.698,7.331,,sp26-cs525-0617.cs.illinois.edu,0.385,0.385,p2c_pewma
0.387,resnet_p2c_c16_0000057,610189,p2c_pewma,sp26-cs525-0618,200,132.279,7.374,,sp26-cs525-0618.cs.illinois.edu,0.387,0.387,p2c_pewma
0.391,resnet_p2c_c16_0000058,609667,p2c_pewma,sp26-cs525-0607,200,227.441,6.487,,sp26-cs525-0607.cs.illinois.edu,0.391,0.391,p2c_pewma
0.406,resnet_p2c_c16_0000059,609886,p2c_pewma,sp26-cs525-0619,200,103.533,8.371,,sp26-cs525-0619.cs.illinois.edu,0.406,0.406,p2c_pewma
0.409,resnet_p2c_c16_0000060,610242,p2c_pewma,sp26-cs525-0617,200,157.597,8.107,,sp26-cs525-0617.cs.illinois.edu,0.409,0.409,p2c_pewma
0.426,resnet_p2c_c16_0000061,610106,p2c_pewma,sp26-cs525-0605,200,148.063,5.887,,sp26-cs525-0605.cs.illinois.edu,0.426,0.426,p2c_pewma
0.437,resnet_p2c_c16_0000062,610291,p2c_pewma,sp26-cs525-0609,200,88.937,3.351,,sp26-cs525-0609.cs.illinois.edu,0.437,0.437,p2c_pewma
0.444,resnet_p2c_c16_0000063,609629,p2c_pewma,sp26-cs525-0617,200,182.633,6.862,,sp26-cs525-0617.cs.illinois.edu,0.444,0.444,p2c_pewma
0.449,resnet_p2c_c16_0000064,610290,p2c_pewma,sp26-cs525-0612,200,95.899,5.544,,sp26-cs525-0612.cs.illinois.edu,0.449,0.449,p2c_pewma
0.451,resnet_p2c_c16_0000065,610143,p2c_pewma,sp26-cs525-0612,200,177.662,5.679,,sp26-cs525-0612.cs.illinois.edu,0.451,0.451,p2c_pewma
0.452,resnet_p2c_c16_0000066,610105,p2c_pewma,sp26-cs525-0606,200,179.189,8.511,,sp26-cs525-0606.cs.illinois.edu,0.452,0.452,p2c_pewma
