timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,
0.0,resnet_p2c_c24_0000001,609849,p2c_pewma,sp26-cs525-0618,200,114.442,5.832,
0.0,resnet_p2c_c24_0000002,609871,p2c_pewma,sp26-cs525-0606,200,67.282,9.891,
0.0,resnet_p2c_c24_0000003,609669,p2c_pewma,sp26-cs525-0615,200,125.723,8.208,
0.0,resnet_p2c_c24_0000004,609707,p2c_pewma,sp26-cs525-0613,200,89.031,8.257,
0.0,resnet_p2c_c24_0000005,610356,p2c_pewma,sp26-cs525-0606,200,131.252,5.807,
0.0,resnet_p2c_c24_0000006,610201,p2c_pewma,sp26-cs525-0619,200,84.539,4.489,
0.0,resnet_p2c_c24_0000007,609617,p2c_pewma,sp26-cs525-0617,200,58.307,7.308,
0.0,resnet_p2c_c24_0000008,610271,p2c_pewma,sp26-cs525-0617,200,1237.952,8.411,
0.0,resnet_p2c_c24_0000009,610104,p2c_pewma,sp26-cs525-0613,200,129.616,6.328,
0.0,resnet_p2c_c24_0000010,610243,p2c_pewma,sp26-cs525-0614,200,147.133,6.93,
0.0,resnet_p2c_c24_0000011,609562,p2c_pewma,sp26-cs525-0612,200,66.22,7.547,
0.0,resnet_p2c_c24_0000012,610100,p2c_pewma,sp26-cs525-0608,200,112.359,5.467,
0.0,resnet_p2c_c24_0000013,610014,p2c_pewma,sp26-cs525-0608,200,203.482,7.742,
0.0,resnet_p2c_c24_0000014,610403,p2c_pewma,sp26-cs525-0607,200,83.281,7.032,
0.0,resnet_p2c_c24_0000015,610402,p2c_pewma,sp26-cs525-0607,200,142.791,5.437,
0.0,resnet_p2c_c24_0000016,609795,p2c_pewma,sp26-cs525-0612,200,132.43,6.24,
0.0,resnet_p2c_c24_0000017,609748,p2c_pewma,sp26-cs525-0609,200,115.621,5.861,
0.0,resnet_p2c_c24_0000018,610126,p2c_pewma,sp26-cs525-0605,200,76.325,8.004,
0.0,resnet_p2c_c24_0000019,609577,p2c_pewma,sp26-cs525-0618,200,183.258,5.978,
0.0,resnet_p2c_c24_0000020,610261,p2c_pewma,sp26-cs525-0619,200,140.448,6.645,
0.0,resnet_p2c_c24_0000021,609778,p2c_pewma,sp26-cs525-0613,200,208.512,6.709,
0.0,resnet_p2c_c24_0000022,610039,p2c_pewma,sp26-cs525-0609,200,187.291,6.182,
0.0,resnet_p2c_c24_0000023,610224,p2c_pewma,sp26-cs525-0618,200,230.596,7.957,
0.0,resnet_p2c_c24_0000024,609882,p2c_pewma,sp26-cs525-0605,200,120.977,6.642,
0.058,resnet_p2c_c24_0000025,610179,p2c_pewma,sp26-cs525-0613,200,250.174,8.324,
0.066,resnet_p2c_c24_0000026,609598,p2c_pewma,sp26-cs525-0614,200,170.961,7.743,
0.067,resnet_p2c_c24_0000027,610247,p2c_pewma,sp26-cs525-0605,200,114.386,3.091,
0.076,resnet_p2c_c24_0000028,609601,p2c_pewma,sp26-cs525-0619,200,129.523,5.999,
0.083,resnet_p2c_c24_0000029,610362,p2c_pewma,sp26-cs525-0606,200,219.703,7.922,
0.085,resnet_p2c_c24_0000030,609983,p2c_pewma,sp26-cs525-0612,200,125.518,6.393,
0.089,resnet_p2c_c24_0000031,609730,p2c_pewma,sp26-cs525-0608,200,173.747,8.638,
0.112,resnet_p2c_c24_0000032,609677,p2c_pewma,sp26-cs525-0613,200,265.356,5.566,
0.114,resnet_p2c_c24_0000033,610336,p2c_pewma,sp26-cs525-0615,200,125.045,8.144,
0.116,resnet_p2c_c24_0000034,610354,p2c_pewma,sp26-cs525-0609,200,164.243,7.319,
0.121,resnet_p2c_c24_0000035,610399,p2c_pewma,sp26-cs525-0615,200,243.959,6.124,
0.126,resnet_p2c_c24_0000036,609703,p2c_pewma,sp26-cs525-0608,200,207.216,5.611,
0.13,resnet_p2c_c24_0000037,610331,p2c_pewma,sp26-cs525-0605,200,132.98,6.561,
0.131,resnet_p2c_c24_0000038,610449,p2c_pewma,sp26-cs525-0607,200,56.479,7.494,
0.132,resnet_p2c_c24_0000039,609631,p2c_pewma,sp26-cs525-0607,200,151.074,7.741,
0.14,resnet_p2c_c24_0000040,609733,p2c_pewma,sp26-cs525-0612,200,133.542,8.155,
0.143,resnet_p2c_c24_0000041,609652,p2c_pewma,sp26-cs525-0608,200,260.188,5.233,
0.147,resnet_p2c_c24_0000042,609579,p2c_pewma,sp26-cs525-0609,200,165.443,6.657,
0.182,resnet_p2c_c24_0000043,610014,p2c_pewma,sp26-cs525-0618,200,137.89,6.369,
0.183,resnet_p2c_c24_0000044,610129,p2c_pewma,sp26-cs525-0607,200,224.935,8.219,
0.187,resnet_p2c_c24_0000045,610004,p2c_pewma,sp26-cs525-0614,200,170.663,5.827,
0.188,resnet_p2c_c24_0000046,609843,p2c_pewma,sp26-cs525-0605,200,160.837,8.042,
0.203,resnet_p2c_c24_0000047,610447,p2c_pewma,sp26-cs525-0615,200,222.051,7.776,
0.206,resnet_p2c_c24_0000048,610093,p2c_pewma,sp26-cs525-0607,200,316.676,6.266,
0.209,resnet_p2c_c24_0000049,610354,p2c_pewma,sp26-cs525-0606,200,179.059,7.166,
0.21,resnet_p2c_c24_0000050,610412,p2c_pewma,sp26-cs525-0606,200,247.15,8.44,
0.231,resnet_p2c_c24_0000051,610201,p2c_pewma,sp26-cs525-0609,200,182.893,8.424,
0.237,resnet_p2c_c24_0000052,610239,p2c_pewma,sp26-cs525-0613,200,199.968,6.445,
0.239,resnet_p2c_c24_0000053,610177,p2c_pewma,sp26-cs525-0612,200,83.041,6.766,
0.263,resnet_p2c_c24_0000054,610058,p2c_pewma,sp26-cs525-0608,200,279.777,5.749,
0.263,resnet_p2c_c24_0000055,610247,p2c_pewma,sp26-cs525-0614,200,191.42,7.778,
0.274,resnet_p2c_c24_0000056,609789,p2c_pewma,sp26-cs525-0619,200,133.286,7.431,
0.28,resnet_p2c_c24_0000057,609823,p2c_pewma,sp26-cs525-0606,200,239.211,7.343,
0.284,resnet_p2c_c24_0000058,609815,p2c_pewma,sp26-cs525-0613,200,226.217,7.873,
0.303,resnet_p2c_c24_0000059,610192,p2c_pewma,sp26-cs525-0606,200,296.399,6.182,
0.308,resnet_p2c_c24_0000060,610268,p2c_pewma,sp26-cs525-0618,200,78.562,8.549,
0.313,resnet_p2c_c24_0000061,609854,p2c_pewma,sp26-cs525-0609,200,178.763,9.134,
0.32,resnet_p2c_c24_0000062,609671,p2c_pewma,sp26-cs525-0612,200,77.304,5.884,
0.323,resnet_p2c_c24_0000063,609868,p2c_pewma,sp26-cs525-0614,200,182.942,10.044,
0.333,resnet_p2c_c24_0000064,609846,p2c_pewma,sp26-cs525-0607,200,271.614,5.92,
0.349,resnet_p2c_c24_0000065,610113,p2c_pewma,sp26-cs525-0612,200,123.751,9.099,
0.358,resnet_p2c_c24_0000066,609816,p2c_pewma,sp26-cs525-0617,200,932.087,5.677,
0.365,resnet_p2c_c24_0000067,609816,p2c_pewma,sp26-cs525-0618,200,1353.372,6.695,
0.378,resnet_p2c_c24_0000068,609597,p2c_pewma,sp26-cs525-0619,200,91.619,9.278,
0.387,resnet_p2c_c24_0000069,610121,p2c_pewma,sp26-cs525-0615,200,95.279,8.134,
0.388,resnet_p2c_c24_0000070,609711,p2c_pewma,sp26-cs525-0612,200,152.25,4.907,
0.397,resnet_p2c_c24_0000071,609893,p2c_pewma,sp26-cs525-0615,200,228.31,6.055,
0.403,resnet_p2c_c24_0000072,609937,p2c_pewma,sp26-cs525-0613,200,148.554,6.175,
0.407,resnet_p2c_c24_0000073,609690,p2c_pewma,sp26-cs525-0619,200,141.233,5.87,
0.408,resnet_p2c_c24_0000074,609960,p2c_pewma,sp26-cs525-0605,200,117.448,6.114,
0.413,resnet_p2c_c24_0000075,609844,p2c_pewma,sp26-cs525-0614,200,150.749,7.039,
0.426,resnet_p2c_c24_0000076,609730,p2c_pewma,sp26-cs525-0615,200,295.696,4.643,
0.437,resnet_p2c_c24_0000077,609663,p2c_pewma,sp26-cs525-0617,200,946.954,8.929,
0.454,resnet_p2c_c24_0000078,609945,p2c_pewma,sp26-cs525-0612,200,175.794,6.266,
0.457,resnet_p2c_c24_0000079,610273,p2c_pewma,sp26-cs525-0612,200,294.146,6.272,
0.469,resnet_p2c_c24_0000080,610435,p2c_pewma,sp26-cs525-0619,200,152.449,8.125,
0.472,resnet_p2c_c24_0000081,610342,p2c_pewma,sp26-cs525-0605,200,99.97,9.144,
0.482,resnet_p2c_c24_0000082,610005,p2c_pewma,sp26-cs525-0613,200,144.161,6.122,
0.491,resnet_p2c_c24_0000083,609843,p2c_pewma,sp26-cs525-0615,200,336.956,9.468,
0.505,resnet_p2c_c24_0000084,610155,p2c_pewma,sp26-cs525-0614,200,121.989,7.077,
0.51,resnet_p2c_c24_0000085,609682,p2c_pewma,sp26-cs525-0613,200,191.494,5.884,
0.519,resnet_p2c_c24_0000086,609920,p2c_pewma,sp26-cs525-0609,200,96.256,9.627,
0.523,resnet_p2c_c24_0000087,610360,p2c_pewma,sp26-cs525-0605,200,190.112,7.887,
0.526,resnet_p2c_c24_0000088,610423,p2c_pewma,sp26-cs525-0607,200,182.108,5.669,
0.54,resnet_p2c_c24_0000089,610393,p2c_pewma,sp26-cs525-0605,200,244.81,7.382,
0.542,resnet_p2c_c24_0000090,609975,p2c_pewma,sp26-cs525-0609,200,185.394,6.779,
0.549,resnet_p2c_c24_0000091,609745,p2c_pewma,sp26-cs525-0613,200,272.452,5.192,
0.552,resnet_p2c_c24_0000092,610180,p2c_pewma,sp26-cs525-0608,200,86.108,7.467,
0.564,resnet_p2c_c24_0000093,610416,p2c_pewma,sp26-cs525-0609,200,216.41,8.565,
0.572,resnet_p2c_c24_0000094,610109,p2c_pewma,sp26-cs525-0614,200,165.953,8.064,
0.599,resnet_p2c_c24_0000095,610111,p2c_pewma,sp26-cs525-0619,200,125.208,7.269,
0.605,resnet_p2c_c24_0000096,610360,p2c_pewma,sp26-cs525-0609,200,258.553,8.49,
0.615,resnet_p2c_c24_0000097,609680,p2c_pewma,sp26-cs525-0606,200,107.081,7.558,
0.622,resnet_p2c_c24_0000098,610047,p2c_pewma,sp26-cs525-0608,200,99.957,8.329,
0.625,resnet_p2c_c24_0000099,610304,p2c_pewma,sp26-cs525-0613,503,243.577,7.95,
0.626,resnet_p2c_c24_0000100,609669,p2c_pewma,sp26-cs525-0614,200,206.636,3.993,
0.627,resnet_p2c_c24_0000101,609663,p2c_pewma,sp26-cs525-0612,200,216.065,8.768,
0.63,resnet_p2c_c24_0000102,610148,p2c_pewma,sp26-cs525-0606,200,168.068,6.801,
0.638,resnet_p2c_c24_0000103,609942,p2c_pewma,sp26-cs525-0614,200,280.76,5.658,
0.701,resnet_p2c_c24_0000104,610172,p2c_pewma,sp26-cs525-0606,200,178.562,6.293,
0.708,resnet_p2c_c24_0000105,609617,p2c_pewma,sp26-cs525-0619,200,71.958,6.131,
0.713,resnet_p2c_c24_0000106,610290,p2c_pewma,sp26-cs525-0613,200,966.751,7.726,
0.721,resnet_p2c_c24_0000107,610373,p2c_pewma,sp26-cs525-0607,200,73.265,7.633,
0.722,resnet_p2c_c24_0000108,610077,p2c_pewma,sp26-cs525-0605,200,197.3,5.261,
0.722,resnet_p2c_c24_0000109,609710,p2c_pewma,sp26-cs525-0615,200,162.377,5.425,
0.725,resnet_p2c_c24_0000110,609638,p2c_pewma,sp26-cs525-0608,200,134.77,7.199,
0.728,resnet_p2c_c24_0000111,609869,p2c_pewma,sp26-cs525-0607,200,138.386,6.618,
0.738,resnet_p2c_c24_0000112,609568,p2c_pewma,sp26-cs525-0607,200,185.172,7.334,
0.751,resnet_p2c_c24_0000113,610199,p2c_pewma,sp26-cs525-0609,200,159.88,5.151,
0.78,resnet_p2c_c24_0000114,609736,p2c_pewma,sp26-cs525-0608,200,174.838,4.358,
0.781,resnet_p2c_c24_0000115,609744,p2c_pewma,sp26-cs525-0619,200,82.258,7.819,
0.785,resnet_p2c_c24_0000116,610377,p2c_pewma,sp26-cs525-0607,200,227.902,5.666,
0.794,resnet_p2c_c24_0000117,610223,p2c_pewma,sp26-cs525-0619,200,138.966,6.625,
0.798,resnet_p2c_c24_0000118,610155,p2c_pewma,sp26-cs525-0605,200,169.296,5.306,
0.821,resnet_p2c_c24_0000119,610404,p2c_pewma,sp26-cs525-0609,200,172.064,9.217,
0.828,resnet_p2c_c24_0000120,609629,p2c_pewma,sp26-cs525-0614,200,171.054,6.484,
0.833,resnet_p2c_c24_0000121,609608,p2c_pewma,sp26-cs525-0606,200,143.869,7.563,
