timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
0.014,SIMULATED_DATA_rr_c16_0000001,602112,round_robin,sp26-cs525-0605,200,803.79,4.86,,sp26-cs525-0605.cs.illinois.edu,0.014,0.000,round_robin
0.162,SIMULATED_DATA_rr_c16_0000002,602112,round_robin,sp26-cs525-0606,200,1463.93,5.786,,sp26-cs525-0606.cs.illinois.edu,0.162,0.148,round_robin
0.2,SIMULATED_DATA_rr_c16_0000003,602112,round_robin,sp26-cs525-0607,200,957.398,6.938,,sp26-cs525-0607.cs.illinois.edu,0.2,0.186,round_robin
0.4,SIMULATED_DATA_rr_c16_0000004,602112,round_robin,sp26-cs525-0608,200,486.568,5.05,,sp26-cs525-0608.cs.illinois.edu,0.4,0.386,round_robin
0.401,SIMULATED_DATA_rr_c16_0000005,602112,round_robin,sp26-cs525-0609,200,1944.426,6.672,,sp26-cs525-0609.cs.illinois.edu,0.401,0.387,round_robin
0.501,SIMULATED_DATA_rr_c16_0000006,602112,round_robin,sp26-cs525-0612,200,1632.142,5.089,,sp26-cs525-0612.cs.illinois.edu,0.501,0.487,round_robin
0.535,SIMULATED_DATA_rr_c16_0000007,602112,round_robin,sp26-cs525-0613,200,978.145,3.166,,sp26-cs525-0613.cs.illinois.edu,0.535,0.521,round_robin
0.609,SIMULATED_DATA_rr_c16_0000008,602112,round_robin,sp26-cs525-0614,200,1389.946,5.513,,sp26-cs525-0614.cs.illinois.edu,0.609,0.595,round_robin
0.613,SIMULATED_DATA_rr_c16_0000009,602112,round_robin,sp26-cs525-0615,200,1068.932,6.744,,sp26-cs525-0615.cs.illinois.edu,0.613,0.599,round_robin
0.726,SIMULATED_DATA_rr_c16_0000010,602112,round_robin,sp26-cs525-0617,200,802.393,6.414,,sp26-cs525-0617.cs.illinois.edu,0.726,0.712,round_robin
0.785,SIMULATED_DATA_rr_c16_0000011,602112,round_robin,sp26-cs525-0618,200,1008.159,4.826,,sp26-cs525-0618.cs.illinois.edu,0.785,0.771,round_robin
0.908,SIMULATED_DATA_rr_c16_0000012,602112,round_robin,sp26-cs525-0619,200,1122.118,5.646,,sp26-cs525-0619.cs.illinois.edu,0.908,0.894,round_robin
1.032,SIMULATED_DATA_rr_c16_0000013,602112,round_robin,sp26-cs525-0605,200,1433.629,4.625,,sp26-cs525-0605.cs.illinois.edu,1.032,1.018,round_robin
1.131,SIMULATED_DATA_rr_c16_0000014,602112,round_robin,sp26-cs525-0606,200,1445.605,6.752,,sp26-cs525-0606.cs.illinois.edu,1.131,1.117,round_robin
1.16,SIMULATED_DATA_rr_c16_0000015,602112,round_robin,sp26-cs525-0607,200,1320.588,6.227,,sp26-cs525-0607.cs.illinois.edu,1.16,1.146,round_robin
1.23,SIMULATED_DATA_rr_c16_0000016,602112,round_robin,sp26-cs525-0608,200,1516.73,5.355,,sp26-cs525-0608.cs.illinois.edu,1.23,1.216,round_robin
1.261,SIMULATED_DATA_rr_c16_0000017,602112,round_robin,sp26-cs525-0609,200,921.066,4.266,,sp26-cs525-0609.cs.illinois.edu,1.261,1.247,round_robin
1.346,SIMULATED_DATA_rr_c16_0000018,602112,round_robin,sp26-cs525-0612,200,1408.812,7.423,,sp26-cs525-0612.cs.illinois.edu,1.346,1.332,round_robin
1.583,SIMULATED_DATA_rr_c16_0000019,602112,round_robin,sp26-cs525-0613,200,1911.459,5.471,,sp26-cs525-0613.cs.illinois.edu,1.583,1.569,round_robin
1.638,SIMULATED_DATA_rr_c16_0000020,602112,round_robin,sp26-cs525-0614,200,956.194,7.515,,sp26-cs525-0614.cs.illinois.edu,1.638,1.624,round_robin
1.854,SIMULATED_DATA_rr_c16_0000021,602112,round_robin,sp26-cs525-0615,200,1359.221,6.553,,sp26-cs525-0615.cs.illinois.edu,1.854,1.840,round_robin
1.979,SIMULATED_DATA_rr_c16_0000022,602112,round_robin,sp26-cs525-0617,200,861.52,7.474,,sp26-cs525-0617.cs.illinois.edu,1.979,1.965,round_robin
2.178,SIMULATED_DATA_rr_c16_0000023,602112,round_robin,sp26-cs525-0618,200,997.502,3.683,,sp26-cs525-0618.cs.illinois.edu,2.178,2.164,round_robin
2.21,SIMULATED_DATA_rr_c16_0000024,602112,round_robin,sp26-cs525-0619,200,1188.627,6.088,,sp26-cs525-0619.cs.illinois.edu,2.21,2.196,round_robin
2.399,SIMULATED_DATA_rr_c16_0000025,602112,round_robin,sp26-cs525-0605,200,1357.206,5.869,,sp26-cs525-0605.cs.illinois.edu,2.399,2.385,round_robin
2.643,SIMULATED_DATA_rr_c16_0000026,602112,round_robin,sp26-cs525-0606,200,1758.878,4.467,,sp26-cs525-0606.cs.illinois.edu,2.643,2.629,round_robin
2.662,SIMULATED_DATA_rr_c16_0000027,602112,round_robin,sp26-cs525-0607,200,796.368,7.738,,sp26-cs525-0607.cs.illinois.edu,2.662,2.648,round_robin
2.779,SIMULATED_DATA_rr_c16_0000028,602112,round_robin,sp26-cs525-0608,200,833.376,6.834,,sp26-cs525-0608.cs.illinois.edu,2.779,2.765,round_robin
2.882,SIMULATED_DATA_rr_c16_0000029,602112,round_robin,sp26-cs525-0609,200,979.837,4.798,,sp26-cs525-0609.cs.illinois.edu,2.882,2.868,round_robin
2.93,SIMULATED_DATA_rr_c16_0000030,602112,round_robin,sp26-cs525-0612,200,978.017,5.951,,sp26-cs525-0612.cs.illinois.edu,2.93,2.916,round_robin
3.006,SIMULATED_DATA_rr_c16_0000031,602112,round_robin,sp26-cs525-0613,200,1041.975,6.969,,sp26-cs525-0613.cs.illinois.edu,3.006,2.992,round_robin
3.081,SIMULATED_DATA_rr_c16_0000032,602112,round_robin,sp26-cs525-0614,200,974.555,7.293,,sp26-cs525-0614.cs.illinois.edu,3.081,3.067,round_robin
3.101,SIMULATED_DATA_rr_c16_0000033,602112,round_robin,sp26-cs525-0615,200,1009.832,4.605,,sp26-cs525-0615.cs.illinois.edu,3.101,3.087,round_robin
3.257,SIMULATED_DATA_rr_c16_0000034,602112,round_robin,sp26-cs525-0617,200,942.314,4.764,,sp26-cs525-0617.cs.illinois.edu,3.257,3.243,round_robin
3.481,SIMULATED_DATA_rr_c16_0000035,602112,round_robin,sp26-cs525-0618,200,1123.138,6.01,,sp26-cs525-0618.cs.illinois.edu,3.481,3.467,round_robin
3.579,SIMULATED_DATA_rr_c16_0000036,602112,round_robin,sp26-cs525-0619,200,1112.579,6.355,,sp26-cs525-0619.cs.illinois.edu,3.579,3.565,round_robin
3.593,SIMULATED_DATA_rr_c16_0000037,602112,round_robin,sp26-cs525-0605,200,1577.235,4.687,,sp26-cs525-0605.cs.illinois.edu,3.593,3.579,round_robin
3.599,SIMULATED_DATA_rr_c16_0000038,602112,round_robin,sp26-cs525-0606,200,1513.115,5.571,,sp26-cs525-0606.cs.illinois.edu,3.599,3.585,round_robin
3.674,SIMULATED_DATA_rr_c16_0000039,602112,round_robin,sp26-cs525-0607,200,803.449,7.009,,sp26-cs525-0607.cs.illinois.edu,3.674,3.660,round_robin
3.684,SIMULATED_DATA_rr_c16_0000040,602112,round_robin,sp26-cs525-0608,200,932.379,7.12,,sp26-cs525-0608.cs.illinois.edu,3.684,3.670,round_robin
3.719,SIMULATED_DATA_rr_c16_0000041,602112,round_robin,sp26-cs525-0609,200,1514.855,6.311,,sp26-cs525-0609.cs.illinois.edu,3.719,3.705,round_robin
3.751,SIMULATED_DATA_rr_c16_0000042,602112,round_robin,sp26-cs525-0612,200,1286.249,4.808,,sp26-cs525-0612.cs.illinois.edu,3.751,3.737,round_robin
3.768,SIMULATED_DATA_rr_c16_0000043,602112,round_robin,sp26-cs525-0613,200,1020.02,4.861,,sp26-cs525-0613.cs.illinois.edu,3.768,3.754,round_robin
3.812,SIMULATED_DATA_rr_c16_0000044,602112,round_robin,sp26-cs525-0614,200,1210.585,5.431,,sp26-cs525-0614.cs.illinois.edu,3.812,3.798,round_robin
3.864,SIMULATED_DATA_rr_c16_0000045,602112,round_robin,sp26-cs525-0615,200,1540.893,7.496,,sp26-cs525-0615.cs.illinois.edu,3.864,3.850,round_robin
4.097,SIMULATED_DATA_rr_c16_0000046,602112,round_robin,sp26-cs525-0617,200,1310.995,5.707,,sp26-cs525-0617.cs.illinois.edu,4.097,4.083,round_robin
4.182,SIMULATED_DATA_rr_c16_0000047,602112,round_robin,sp26-cs525-0618,200,1482.648,5.52,,sp26-cs525-0618.cs.illinois.edu,4.182,4.168,round_robin
4.191,SIMULATED_DATA_rr_c16_0000048,602112,round_robin,sp26-cs525-0619,200,643.982,3.636,,sp26-cs525-0619.cs.illinois.edu,4.191,4.177,round_robin
4.405,SIMULATED_DATA_rr_c16_0000049,602112,round_robin,sp26-cs525-0605,200,812.223,4.688,,sp26-cs525-0605.cs.illinois.edu,4.405,4.391,round_robin
4.446,SIMULATED_DATA_rr_c16_0000050,602112,round_robin,sp26-cs525-0606,200,795.771,8.047,,sp26-cs525-0606.cs.illinois.edu,4.446,4.432,round_robin
4.553,SIMULATED_DATA_rr_c16_0000051,602112,round_robin,sp26-cs525-0607,200,1007.051,6.439,,sp26-cs525-0607.cs.illinois.edu,4.553,4.539,round_robin
4.652,SIMULATED_DATA_rr_c16_0000052,602112,round_robin,sp26-cs525-0608,200,971.501,6.408,,sp26-cs525-0608.cs.illinois.edu,4.652,4.638,round_robin
4.893,SIMULATED_DATA_rr_c16_0000053,602112,round_robin,sp26-cs525-0609,200,920.126,10.229,,sp26-cs525-0609.cs.illinois.edu,4.893,4.879,round_robin
4.894,SIMULATED_DATA_rr_c16_0000054,602112,round_robin,sp26-cs525-0612,200,611.567,7.918,,sp26-cs525-0612.cs.illinois.edu,4.894,4.880,round_robin
4.9,SIMULATED_DATA_rr_c16_0000055,602112,round_robin,sp26-cs525-0613,200,795.243,4.73,,sp26-cs525-0613.cs.illinois.edu,4.9,4.886,round_robin
4.944,SIMULATED_DATA_rr_c16_0000056,602112,round_robin,sp26-cs525-0614,200,845.462,7.581,,sp26-cs525-0614.cs.illinois.edu,4.944,4.930,round_robin
5.008,SIMULATED_DATA_rr_c16_0000057,602112,round_robin,sp26-cs525-0615,200,1431.227,6.533,,sp26-cs525-0615.cs.illinois.edu,5.008,4.994,round_robin
5.011,SIMULATED_DATA_rr_c16_0000058,602112,round_robin,sp26-cs525-0617,200,1144.714,6.035,,sp26-cs525-0617.cs.illinois.edu,5.011,4.997,round_robin
5.027,SIMULATED_DATA_rr_c16_0000059,602112,round_robin,sp26-cs525-0618,200,855.87,7.059,,sp26-cs525-0618.cs.illinois.edu,5.027,5.013,round_robin
5.137,SIMULATED_DATA_rr_c16_0000060,602112,round_robin,sp26-cs525-0619,200,1086.826,5.789,,sp26-cs525-0619.cs.illinois.edu,5.137,5.123,round_robin
5.284,SIMULATED_DATA_rr_c16_0000061,602112,round_robin,sp26-cs525-0605,200,1216.53,4.91,,sp26-cs525-0605.cs.illinois.edu,5.284,5.270,round_robin
5.397,SIMULATED_DATA_rr_c16_0000062,602112,round_robin,sp26-cs525-0606,200,1221.037,7.142,,sp26-cs525-0606.cs.illinois.edu,5.397,5.383,round_robin
5.51,SIMULATED_DATA_rr_c16_0000063,602112,round_robin,sp26-cs525-0607,200,1315.592,6.397,,sp26-cs525-0607.cs.illinois.edu,5.51,5.496,round_robin
5.554,SIMULATED_DATA_rr_c16_0000064,602112,round_robin,sp26-cs525-0608,200,671.461,7.26,,sp26-cs525-0608.cs.illinois.edu,5.554,5.540,round_robin
5.564,SIMULATED_DATA_rr_c16_0000065,602112,round_robin,sp26-cs525-0609,200,1075.361,6.65,,sp26-cs525-0609.cs.illinois.edu,5.564,5.550,round_robin
5.732,SIMULATED_DATA_rr_c16_0000066,602112,round_robin,sp26-cs525-0612,200,929.135,3.036,,sp26-cs525-0612.cs.illinois.edu,5.732,5.718,round_robin
5.826,SIMULATED_DATA_rr_c16_0000067,602112,round_robin,sp26-cs525-0613,200,1198.073,7.13,,sp26-cs525-0613.cs.illinois.edu,5.826,5.812,round_robin
5.877,SIMULATED_DATA_rr_c16_0000068,602112,round_robin,sp26-cs525-0614,200,1322.35,7.1,,sp26-cs525-0614.cs.illinois.edu,5.877,5.863,round_robin
5.95,SIMULATED_DATA_rr_c16_0000069,602112,round_robin,sp26-cs525-0615,200,1214.843,6.273,,sp26-cs525-0615.cs.illinois.edu,5.95,5.936,round_robin
5.982,SIMULATED_DATA_rr_c16_0000070,602112,round_robin,sp26-cs525-0617,200,1613.327,4.844,,sp26-cs525-0617.cs.illinois.edu,5.982,5.968,round_robin
6.144,SIMULATED_DATA_rr_c16_0000071,602112,round_robin,sp26-cs525-0618,200,1002.949,6.075,,sp26-cs525-0618.cs.illinois.edu,6.144,6.130,round_robin
6.147,SIMULATED_DATA_rr_c16_0000072,602112,round_robin,sp26-cs525-0619,200,1057.621,7.023,,sp26-cs525-0619.cs.illinois.edu,6.147,6.133,round_robin
6.45,SIMULATED_DATA_rr_c16_0000073,602112,round_robin,sp26-cs525-0605,200,728.516,6.829,,sp26-cs525-0605.cs.illinois.edu,6.45,6.436,round_robin
6.612,SIMULATED_DATA_rr_c16_0000074,602112,round_robin,sp26-cs525-0606,200,1075.7,6.425,,sp26-cs525-0606.cs.illinois.edu,6.612,6.598,round_robin
6.642,SIMULATED_DATA_rr_c16_0000075,602112,round_robin,sp26-cs525-0607,200,850.955,8.244,,sp26-cs525-0607.cs.illinois.edu,6.642,6.628,round_robin
6.716,SIMULATED_DATA_rr_c16_0000076,602112,round_robin,sp26-cs525-0608,200,1042.983,5.479,,sp26-cs525-0608.cs.illinois.edu,6.716,6.702,round_robin
6.789,SIMULATED_DATA_rr_c16_0000077,602112,round_robin,sp26-cs525-0609,200,758.058,4.521,,sp26-cs525-0609.cs.illinois.edu,6.789,6.775,round_robin
6.841,SIMULATED_DATA_rr_c16_0000078,602112,round_robin,sp26-cs525-0612,200,1276.043,5.224,,sp26-cs525-0612.cs.illinois.edu,6.841,6.827,round_robin
6.915,SIMULATED_DATA_rr_c16_0000079,602112,round_robin,sp26-cs525-0613,200,917.64,6.048,,sp26-cs525-0613.cs.illinois.edu,6.915,6.901,round_robin
6.929,SIMULATED_DATA_rr_c16_0000080,602112,round_robin,sp26-cs525-0614,200,1027.28,8.459,,sp26-cs525-0614.cs.illinois.edu,6.929,6.915,round_robin
6.947,SIMULATED_DATA_rr_c16_0000081,602112,round_robin,sp26-cs525-0615,200,852.131,6.359,,sp26-cs525-0615.cs.illinois.edu,6.947,6.933,round_robin
6.951,SIMULATED_DATA_rr_c16_0000082,602112,round_robin,sp26-cs525-0617,200,959.444,5.264,,sp26-cs525-0617.cs.illinois.edu,6.951,6.937,round_robin
7.009,SIMULATED_DATA_rr_c16_0000083,602112,round_robin,sp26-cs525-0618,200,1211.348,6.466,,sp26-cs525-0618.cs.illinois.edu,7.009,6.995,round_robin
7.049,SIMULATED_DATA_rr_c16_0000084,602112,round_robin,sp26-cs525-0619,200,655.039,6.039,,sp26-cs525-0619.cs.illinois.edu,7.049,7.035,round_robin
7.134,SIMULATED_DATA_rr_c16_0000085,602112,round_robin,sp26-cs525-0605,200,1583.252,6.567,,sp26-cs525-0605.cs.illinois.edu,7.134,7.120,round_robin
7.135,SIMULATED_DATA_rr_c16_0000086,602112,round_robin,sp26-cs525-0606,200,931.611,6.482,,sp26-cs525-0606.cs.illinois.edu,7.135,7.121,round_robin
7.141,SIMULATED_DATA_rr_c16_0000087,602112,round_robin,sp26-cs525-0607,200,2253.567,7.467,,sp26-cs525-0607.cs.illinois.edu,7.141,7.127,round_robin
7.228,SIMULATED_DATA_rr_c16_0000088,602112,round_robin,sp26-cs525-0608,200,1054.476,6.257,,sp26-cs525-0608.cs.illinois.edu,7.228,7.214,round_robin
7.237,SIMULATED_DATA_rr_c16_0000089,602112,round_robin,sp26-cs525-0609,200,483.841,6.696,,sp26-cs525-0609.cs.illinois.edu,7.237,7.223,round_robin
7.24,SIMULATED_DATA_rr_c16_0000090,602112,round_robin,sp26-cs525-0612,200,1480.581,6.671,,sp26-cs525-0612.cs.illinois.edu,7.24,7.226,round_robin
7.374,SIMULATED_DATA_rr_c16_0000091,602112,round_robin,sp26-cs525-0613,200,859.438,3.845,,sp26-cs525-0613.cs.illinois.edu,7.374,7.360,round_robin
7.43,SIMULATED_DATA_rr_c16_0000092,602112,round_robin,sp26-cs525-0614,200,784.906,5.563,,sp26-cs525-0614.cs.illinois.edu,7.43,7.416,round_robin
7.497,SIMULATED_DATA_rr_c16_0000093,602112,round_robin,sp26-cs525-0615,200,1023.807,7.685,,sp26-cs525-0615.cs.illinois.edu,7.497,7.483,round_robin
