timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,
0.122,SIMULATED_DATA_rr_c32_0000001,602112,round_robin,sp26-cs525-0605,200,2256.84,13.383,
0.147,SIMULATED_DATA_rr_c32_0000002,602112,round_robin,sp26-cs525-0606,200,1801.142,11.501,
0.155,SIMULATED_DATA_rr_c32_0000003,602112,round_robin,sp26-cs525-0607,200,2633.149,11.479,
0.19,SIMULATED_DATA_rr_c32_0000004,602112,round_robin,sp26-cs525-0608,200,1952.215,7.857,
0.218,SIMULATED_DATA_rr_c32_0000005,602112,round_robin,sp26-cs525-0609,200,1231.872,14.151,
0.219,SIMULATED_DATA_rr_c32_0000006,602112,round_robin,sp26-cs525-0612,200,3384.481,12.365,
0.225,SIMULATED_DATA_rr_c32_0000007,602112,round_robin,sp26-cs525-0613,200,1689.895,12.978,
0.237,SIMULATED_DATA_rr_c32_0000008,602112,round_robin,sp26-cs525-0614,200,1328.968,11.401,
0.325,SIMULATED_DATA_rr_c32_0000009,602112,round_robin,sp26-cs525-0615,200,1684.623,12.486,
0.385,SIMULATED_DATA_rr_c32_0000010,602112,round_robin,sp26-cs525-0617,200,1378.351,11.947,
0.455,SIMULATED_DATA_rr_c32_0000011,602112,round_robin,sp26-cs525-0618,200,1865.615,5.26,
0.515,SIMULATED_DATA_rr_c32_0000012,602112,round_robin,sp26-cs525-0619,200,1355.497,12.194,
0.583,SIMULATED_DATA_rr_c32_0000013,602112,round_robin,sp26-cs525-0605,200,1068.922,7.904,
0.76,SIMULATED_DATA_rr_c32_0000014,602112,round_robin,sp26-cs525-0606,200,1418.18,10.395,
0.798,SIMULATED_DATA_rr_c32_0000015,602112,round_robin,sp26-cs525-0607,200,974.531,12.278,
0.835,SIMULATED_DATA_rr_c32_0000016,602112,round_robin,sp26-cs525-0608,200,1147.106,9.713,
0.899,SIMULATED_DATA_rr_c32_0000017,602112,round_robin,sp26-cs525-0609,200,1551.863,9.997,
1.01,SIMULATED_DATA_rr_c32_0000018,602112,round_robin,sp26-cs525-0612,200,2357.791,15.397,
1.064,SIMULATED_DATA_rr_c32_0000019,602112,round_robin,sp26-cs525-0613,200,1121.907,9.964,
1.146,SIMULATED_DATA_rr_c32_0000020,602112,round_robin,sp26-cs525-0614,200,1431.251,9.536,
1.214,SIMULATED_DATA_rr_c32_0000021,602112,round_robin,sp26-cs525-0615,200,1253.934,13.606,
1.294,SIMULATED_DATA_rr_c32_0000022,602112,round_robin,sp26-cs525-0617,200,760.0,9.64,
