timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
2026-04-03T12:40:00.031,mbrr-c128-r0000001,616,round_robin,sp26-cs525-0605,503,1838,7,,sp26-cs525-0605.cs.illinois.edu,2026-04-03T12:40:00.031,0.000,round_robin
2026-04-03T12:40:00.034,mbrr-c128-r0000002,624,round_robin,sp26-cs525-0606,200,1409,7,,sp26-cs525-0606.cs.illinois.edu,2026-04-03T12:40:00.034,0.003,round_robin
2026-04-03T12:40:00.045,mbrr-c128-r0000003,620,round_robin,sp26-cs525-0607,200,1554,5,,sp26-cs525-0607.cs.illinois.edu,2026-04-03T12:40:00.045,0.014,round_robin
2026-04-03T12:40:00.065,mbrr-c128-r0000004,624,round_robin,sp26-cs525-0608,200,2951,7,,sp26-cs525-0608.cs.illinois.edu,2026-04-03T12:40:00.065,0.034,round_robin
2026-04-03T12:40:00.070,mbrr-c128-r0000005,620,round_robin,sp26-cs525-0609,200,2152,6,,sp26-cs525-0609.cs.illinois.edu,2026-04-03T12:40:00.070,0.039,round_robin
2026-04-03T12:40:00.100,mbrr-c128-r0000006,620,round_robin,sp26-cs525-0612,200,2122,7,,sp26-cs525-0612.cs.illinois.edu,2026-04-03T12:40:00.100,0.069,round_robin
2026-04-03T12:40:00.127,mbrr-c128-r0000007,624,round_robin,sp26-cs525-0613,200,1639,4,,sp26-cs525-0613.cs.illinois.edu,2026-04-03T12:40:00.127,0.096,round_robin
2026-04-03T12:40:00.142,mbrr-c128-r0000008,620,round_robin,sp26-cs525-0614,200,1301,6,,sp26-cs525-0614.cs.illinois.edu,2026-04-03T12:40:00.142,0.111,round_robin
2026-04-03T12:40:00.143,mbrr-c128-r0000009,620,round_robin,sp26-cs525-0615,200,2053,7,,sp26-cs525-0615.cs.illinois.edu,2026-04-03T12:40:00.143,0.112,round_robin
2026-04-03T12:40:00.143,mbrr-c128-r0000010,624,round_robin,sp26-cs525-0617,200,1885,6,,sp26-cs525-0617.cs.illinois.edu,2026-04-03T12:40:00.143,0.112,round_robin
2026-04-03T12:40:00.148,mbrr-c128-r0000011,624,round_robin,sp26-cs525-0618,200,961,7,,sp26-cs525-0618.cs.illinois.edu,2026-04-03T12:40:00.148,0.117,round_robin
2026-04-03T12:40:00.156,mbrr-c128-r0000012,620,round_robin,sp26-cs525-0619,200,3104,4,,sp26-cs525-0619.cs.illinois.edu,2026-04-03T12:40:00.156,0.125,round_robin
2026-04-03T12:40:00.169,mbrr-c128-r0000013,628,round_robin,sp26-cs525-0605,200,991,5,,sp26-cs525-0605.cs.illinois.edu,2026-04-03T12:40:00.169,0.138,round_robin
2026-04-03T12:40:00.171,mbrr-c128-r0000014,620,round_robin,sp26-cs525-0606,200,2281,5,,sp26-cs525-0606.cs.illinois.edu,2026-04-03T12:40:00.171,0.140,round_robin
