timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
1715002000.000000,req_rsm_00000,602383,P2C,vm18,200,327.581000,1.854000,,sp26-cs525-0618.cs.illinois.edu,1715002000.000000,0.000,P2C
1715002000.015686,req_rsm_00001,602392,P2C,vm05,200,517.295000,1.033000,,sp26-cs525-0605.cs.illinois.edu,1715002000.015686,0.016,P2C
1715002000.033223,req_rsm_00002,602387,P2C,vm08,200,497.755000,1.593000,,sp26-cs525-0608.cs.illinois.edu,1715002000.033223,0.033,P2C
1715002000.050859,req_rsm_00003,602385,P2C,vm15,200,270.295000,2.018000,,sp26-cs525-0615.cs.illinois.edu,1715002000.050859,0.051,P2C
1715002000.071955,req_rsm_00004,602384,P2C,vm09,200,326.752000,0.992000,,sp26-cs525-0609.cs.illinois.edu,1715002000.071955,0.072,P2C
1715002000.091291,req_rsm_00005,602389,P2C,vm14,200,317.280000,2.364000,,sp26-cs525-0614.cs.illinois.edu,1715002000.091291,0.091,P2C
1715002000.101742,req_rsm_00006,602389,P2C,vm15,200,811.002000,1.497000,,sp26-cs525-0615.cs.illinois.edu,1715002000.101742,0.102,P2C
1715002000.119675,req_rsm_00007,602394,P2C,vm08,200,267.671000,0.400000,,sp26-cs525-0608.cs.illinois.edu,1715002000.119675,0.120,P2C
1715002000.144310,req_rsm_00008,602385,P2C,vm14,200,209.857000,0.477000,,sp26-cs525-0614.cs.illinois.edu,1715002000.144310,0.144,P2C
1715002000.157369,req_rsm_00009,602386,P2C,vm06,200,702.954000,0.400000,,sp26-cs525-0606.cs.illinois.edu,1715002000.157369,0.157,P2C
1715002000.177189,req_rsm_000010,602393,P2C,vm07,200,257.775000,3.043000,,sp26-cs525-0607.cs.illinois.edu,1715002000.177189,0.177,P2C
1715002000.191372,req_rsm_000011,602391,P2C,vm18,200,510.099000,2.629000,,sp26-cs525-0618.cs.illinois.edu,1715002000.191372,0.191,P2C
1715002000.216209,req_rsm_000012,602391,P2C,vm17,200,454.835000,1.011000,,sp26-cs525-0617.cs.illinois.edu,1715002000.216209,0.216,P2C
1715002000.228091,req_rsm_000013,602393,P2C,vm09,200,208.709000,2.276000,,sp26-cs525-0609.cs.illinois.edu,1715002000.228091,0.228,P2C
1715002000.247829,req_rsm_000014,602388,P2C,vm14,200,385.725000,2.073000,,sp26-cs525-0614.cs.illinois.edu,1715002000.247829,0.248,P2C
1715002000.265748,req_rsm_000015,602386,P2C,vm05,200,329.242000,2.691000,,sp26-cs525-0605.cs.illinois.edu,1715002000.265748,0.266,P2C
1715002000.275282,req_rsm_00010,602394,P2C,vm13,200,664.431000,0.400000,,sp26-cs525-0613.cs.illinois.edu,1715002000.275282,0.275,P2C
1715002000.292629,req_rsm_00011,602386,P2C,vm18,200,507.345000,2.655000,,sp26-cs525-0618.cs.illinois.edu,1715002000.292629,0.293,P2C
1715002000.313712,req_rsm_00012,602389,P2C,vm12,200,302.978000,1.285000,,sp26-cs525-0612.cs.illinois.edu,1715002000.313712,0.314,P2C
1715002000.333189,req_rsm_00013,602391,P2C,vm09,200,533.849000,2.834000,,sp26-cs525-0609.cs.illinois.edu,1715002000.333189,0.333,P2C
1715002000.350610,req_rsm_00014,602391,P2C,vm18,200,591.502000,0.834000,,sp26-cs525-0618.cs.illinois.edu,1715002000.350610,0.351,P2C
1715002000.371337,req_rsm_00015,602382,P2C,vm09,200,440.497000,3.327000,,sp26-cs525-0609.cs.illinois.edu,1715002000.371337,0.371,P2C
1715002000.382658,req_rsm_00016,602391,P2C,vm18,200,153.470000,1.696000,,sp26-cs525-0618.cs.illinois.edu,1715002000.382658,0.383,P2C
1715002000.399961,req_rsm_00017,602382,P2C,vm08,200,604.653000,2.758000,,sp26-cs525-0608.cs.illinois.edu,1715002000.399961,0.400,P2C
1715002000.417861,req_rsm_00018,602384,P2C,vm13,200,444.775000,1.620000,,sp26-cs525-0613.cs.illinois.edu,1715002000.417861,0.418,P2C
1715002000.441860,req_rsm_00019,602389,P2C,vm17,200,244.038000,2.198000,,sp26-cs525-0617.cs.illinois.edu,1715002000.441860,0.442,P2C
1715002000.458279,req_rsm_000026,602384,P2C,vm05,200,291.481000,3.516000,,sp26-cs525-0605.cs.illinois.edu,1715002000.458279,0.458,P2C
1715002000.469349,req_rsm_000027,602382,P2C,vm14,200,314.137000,0.400000,,sp26-cs525-0614.cs.illinois.edu,1715002000.469349,0.469,P2C
1715002000.493294,req_rsm_000028,602389,P2C,vm06,200,494.074000,1.785000,,sp26-cs525-0606.cs.illinois.edu,1715002000.493294,0.493,P2C
1715002000.506774,req_rsm_000029,602387,P2C,vm19,200,306.526000,2.168000,,sp26-cs525-0619.cs.illinois.edu,1715002000.506774,0.507,P2C
1715002000.521667,req_rsm_000030,602393,P2C,vm19,200,521.174000,2.550000,,sp26-cs525-0619.cs.illinois.edu,1715002000.521667,0.522,P2C
1715002000.543473,req_rsm_000031,602394,P2C,vm19,200,510.871000,3.019000,,sp26-cs525-0619.cs.illinois.edu,1715002000.543473,0.543,P2C
1715002000.560808,req_rsm_00020,602387,P2C,vm13,200,247.808000,2.049000,,sp26-cs525-0613.cs.illinois.edu,1715002000.560808,0.561,P2C
1715002000.581133,req_rsm_00021,602383,P2C,vm18,200,239.271000,3.856000,,sp26-cs525-0618.cs.illinois.edu,1715002000.581133,0.581,P2C
1715002000.595909,req_rsm_00022,602394,P2C,vm14,200,397.785000,0.400000,,sp26-cs525-0614.cs.illinois.edu,1715002000.595909,0.596,P2C
1715002000.617374,req_rsm_00023,602389,P2C,vm09,200,529.598000,1.505000,,sp26-cs525-0609.cs.illinois.edu,1715002000.617374,0.617,P2C
1715002000.635288,req_rsm_00024,602389,P2C,vm13,200,458.006000,2.200000,,sp26-cs525-0613.cs.illinois.edu,1715002000.635288,0.635,P2C
1715002000.647108,req_rsm_00025,602382,P2C,vm17,200,1196.833000,2.210000,,sp26-cs525-0617.cs.illinois.edu,1715002000.647108,0.647,P2C
1715002000.665842,req_rsm_00026,602389,P2C,vm05,200,330.743000,0.939000,,sp26-cs525-0605.cs.illinois.edu,1715002000.665842,0.666,P2C
1715002000.687062,req_rsm_00027,602384,P2C,vm19,200,358.857000,1.000000,,sp26-cs525-0619.cs.illinois.edu,1715002000.687062,0.687,P2C
1715002000.701633,req_rsm_00028,602391,P2C,vm07,200,676.193000,2.034000,,sp26-cs525-0607.cs.illinois.edu,1715002000.701633,0.702,P2C
1715002000.722248,req_rsm_00029,602389,P2C,vm09,200,292.203000,1.855000,,sp26-cs525-0609.cs.illinois.edu,1715002000.722248,0.722,P2C
1715002000.739906,req_rsm_000042,602393,P2C,vm06,200,587.299000,1.673000,,sp26-cs525-0606.cs.illinois.edu,1715002000.739906,0.740,P2C
1715002000.749016,req_rsm_000043,602388,P2C,vm06,200,419.512000,1.481000,,sp26-cs525-0606.cs.illinois.edu,1715002000.749016,0.749,P2C
1715002000.773439,req_rsm_000044,602388,P2C,vm06,200,437.772000,1.944000,,sp26-cs525-0606.cs.illinois.edu,1715002000.773439,0.773,P2C
1715002000.790574,req_rsm_000045,602389,P2C,vm12,200,419.894000,2.103000,,sp26-cs525-0612.cs.illinois.edu,1715002000.790574,0.791,P2C
1715002000.808221,req_rsm_000046,602391,P2C,vm06,200,320.664000,2.290000,,sp26-cs525-0606.cs.illinois.edu,1715002000.808221,0.808,P2C
1715002000.825492,req_rsm_000047,602385,P2C,vm19,200,363.885000,2.328000,,sp26-cs525-0619.cs.illinois.edu,1715002000.825492,0.825,P2C
1715002000.842978,req_rsm_00030,602386,P2C,vm14,200,1038.604000,1.171000,,sp26-cs525-0614.cs.illinois.edu,1715002000.842978,0.843,P2C
1715002000.865195,req_rsm_00031,602386,P2C,vm19,200,826.254000,0.400000,,sp26-cs525-0619.cs.illinois.edu,1715002000.865195,0.865,P2C
1715002000.878331,req_rsm_00032,602382,P2C,vm09,200,146.055000,2.057000,,sp26-cs525-0609.cs.illinois.edu,1715002000.878331,0.878,P2C
1715002000.893184,req_rsm_00033,602393,P2C,vm14,200,299.541000,0.400000,,sp26-cs525-0614.cs.illinois.edu,1715002000.893184,0.893,P2C
1715002000.910912,req_rsm_00034,602387,P2C,vm13,200,571.761000,1.156000,,sp26-cs525-0613.cs.illinois.edu,1715002000.910912,0.911,P2C
1715002000.928919,req_rsm_00035,602385,P2C,vm12,200,219.304000,1.264000,,sp26-cs525-0612.cs.illinois.edu,1715002000.928919,0.929,P2C
1715002000.951261,req_rsm_00036,602392,P2C,vm08,200,426.149000,1.708000,,sp26-cs525-0608.cs.illinois.edu,1715002000.951261,0.951,P2C
