timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
0.021,req_rro_0000001,602112,round_robin,sp26-cs525-0605,200,2155.439,6.291,,sp26-cs525-0605.cs.illinois.edu,0.021,0.000,round_robin
0.087,req_rro_0000002,602112,round_robin,sp26-cs525-0606,200,1083.887,8.653,,sp26-cs525-0606.cs.illinois.edu,0.087,0.066,round_robin
0.216,req_rro_0000003,602112,round_robin,sp26-cs525-0607,200,1623.987,8.132,,sp26-cs525-0607.cs.illinois.edu,0.216,0.195,round_robin
0.283,req_rro_0000004,602112,round_robin,sp26-cs525-0608,200,1330.175,8.031,,sp26-cs525-0608.cs.illinois.edu,0.283,0.262,round_robin
0.294,req_rro_0000005,602112,round_robin,sp26-cs525-0609,200,926.006,6.732,,sp26-cs525-0609.cs.illinois.edu,0.294,0.273,round_robin
0.312,req_rro_0000006,602112,round_robin,sp26-cs525-0612,200,952.541,8.27,,sp26-cs525-0612.cs.illinois.edu,0.312,0.291,round_robin
0.314,req_rro_0000007,602112,round_robin,sp26-cs525-0613,200,1936.565,8.38,,sp26-cs525-0613.cs.illinois.edu,0.314,0.293,round_robin
0.418,req_rro_0000008,602112,round_robin,sp26-cs525-0614,200,1634.655,8.343,,sp26-cs525-0614.cs.illinois.edu,0.418,0.397,round_robin
0.443,req_rro_0000009,602112,round_robin,sp26-cs525-0615,200,1445.771,9.708,,sp26-cs525-0615.cs.illinois.edu,0.443,0.422,round_robin
0.504,req_rro_0000010,602112,round_robin,sp26-cs525-0617,200,1744.376,9.027,,sp26-cs525-0617.cs.illinois.edu,0.504,0.483,round_robin
0.514,req_rro_0000011,602112,round_robin,sp26-cs525-0618,200,895.011,7.186,,sp26-cs525-0618.cs.illinois.edu,0.514,0.493,round_robin
0.539,req_rro_0000012,602112,round_robin,sp26-cs525-0619,200,1504.771,7.887,,sp26-cs525-0619.cs.illinois.edu,0.539,0.518,round_robin
0.582,req_rro_0000013,602112,round_robin,sp26-cs525-0605,200,1172.219,5.367,,sp26-cs525-0605.cs.illinois.edu,0.582,0.561,round_robin
