model,framework,dataset,runtime,concurrency,phase,duration_s,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,16,steady,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,16,fault,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,16,recovery,60,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,16,overall,240,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,24,steady,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,24,fault,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,24,recovery,60,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,24,overall,240,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,32,steady,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,32,fault,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,32,recovery,60,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,32,overall,240,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,48,steady,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,48,fault,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,48,recovery,60,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,48,overall,240,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,64,steady,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,64,fault,90,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,64,recovery,60,
ResNet-50,round_robin,CIFAR-10 resized to 224x224,Triton CPU-only distributed serving,64,overall,240,
