timestamp,req_id,payload_bytes,policy,backend_id,status_code,e2e_ms,gateway_overhead_ms,error_body,backend_id_normalized,timestamp_raw,t_rel_s,strategy
0,525afe46-ab4c-4240-8ace-af49f3287f80,602112,tri_cb,sp26-cs525-0612,200,125,3,,sp26-cs525-0612.cs.illinois.edu,0,0.000,tri_cb
5,5cf3b059-03d9-435d-a520-4b8efa78cfd5,602112,tri_cb,sp26-cs525-0615,200,486,3,,sp26-cs525-0615.cs.illinois.edu,5,5.000,tri_cb
11,c3065dec-2b89-486f-904d-7df591e50fe4,602112,tri_cb,sp26-cs525-0617,503,703,4,,sp26-cs525-0617.cs.illinois.edu,11,11.000,tri_cb
18,96509d74-e26a-466f-b9a0-0b96ef0c1a30,602112,tri_cb,sp26-cs525-0605,200,402,5,,sp26-cs525-0605.cs.illinois.edu,18,18.000,tri_cb
36,864594c8-a81c-48de-8fc1-46af6561a3b3,602112,tri_cb,sp26-cs525-0618,200,147,4,,sp26-cs525-0618.cs.illinois.edu,36,36.000,tri_cb
37,db2c906e-bd03-499f-9fda-6aba1b49567a,602112,tri_cb,sp26-cs525-0606,200,242,5,,sp26-cs525-0606.cs.illinois.edu,37,37.000,tri_cb
40,6c6784c3-fc2f-4ff5-8177-7b064d569764,602112,tri_cb,sp26-cs525-0607,200,214,5,,sp26-cs525-0607.cs.illinois.edu,40,40.000,tri_cb
42,3e3b4182-89a1-442f-a458-9b4814e4da75,602112,tri_cb,sp26-cs525-0612,200,280,6,,sp26-cs525-0612.cs.illinois.edu,42,42.000,tri_cb
45,d06769ea-6319-4cf6-8669-1e54dd1cd29b,602112,tri_cb,sp26-cs525-0619,200,419,4,,sp26-cs525-0619.cs.illinois.edu,45,45.000,tri_cb
55,7ad6ac35-3219-4d8b-aa2c-1a90772accc2,602112,tri_cb,sp26-cs525-0612,200,162,4,,sp26-cs525-0612.cs.illinois.edu,55,55.000,tri_cb
75,07839482-cbfc-4353-9cca-c56c19e69275,602112,tri_cb,sp26-cs525-0614,200,199,5,,sp26-cs525-0614.cs.illinois.edu,75,75.000,tri_cb
84,186ac50d-0cb6-4b12-81d5-a5e0c12e25e7,602112,tri_cb,sp26-cs525-0613,200,135,5,,sp26-cs525-0613.cs.illinois.edu,84,84.000,tri_cb
88,80cf6e67-5fe8-42ed-9b9a-dcef9bf21050,602112,tri_cb,sp26-cs525-0605,200,473,4,,sp26-cs525-0605.cs.illinois.edu,88,88.000,tri_cb
91,15fa6d70-0014-4d41-9a55-c2421d11089e,602112,tri_cb,sp26-cs525-0615,200,705,5,,sp26-cs525-0615.cs.illinois.edu,91,91.000,tri_cb
103,41650a04-89a9-44b3-944f-ab464b14f825,602112,tri_cb,sp26-cs525-0615,200,262,5,,sp26-cs525-0615.cs.illinois.edu,103,103.000,tri_cb
116,9a6ffd2c-2cd3-43c4-a833-a045559ae248,602112,tri_cb,sp26-cs525-0619,200,106,4,,sp26-cs525-0619.cs.illinois.edu,116,116.000,tri_cb
