model,framework,dataset,concurrency,phase,duration_s,requests,
ResNet-50,tri_cb,CIFAR-10_224,16,steady,90,18364,
ResNet-50,tri_cb,CIFAR-10_224,16,fault,90,12059,
ResNet-50,tri_cb,CIFAR-10_224,16,recovery,60,10685,
ResNet-50,tri_cb,CIFAR-10_224,16,overall,240,41108,
ResNet-50,tri_cb,CIFAR-10_224,24,steady,90,20433,
ResNet-50,tri_cb,CIFAR-10_224,24,fault,90,13484,
ResNet-50,tri_cb,CIFAR-10_224,24,recovery,60,11977,
ResNet-50,tri_cb,CIFAR-10_224,24,overall,240,45894,
ResNet-50,tri_cb,CIFAR-10_224,32,steady,90,18294,
ResNet-50,tri_cb,CIFAR-10_224,32,fault,90,12059,
ResNet-50,tri_cb,CIFAR-10_224,32,recovery,60,10905,
ResNet-50,tri_cb,CIFAR-10_224,32,overall,240,41258,
ResNet-50,tri_cb,CIFAR-10_224,48,steady,90,18009,
ResNet-50,tri_cb,CIFAR-10_224,48,fault,90,10058,
ResNet-50,tri_cb,CIFAR-10_224,48,recovery,60,10124,
ResNet-50,tri_cb,CIFAR-10_224,48,overall,240,38191,
ResNet-50,tri_cb,CIFAR-10_224,64,steady,90,17928,
ResNet-50,tri_cb,CIFAR-10_224,64,fault,90,10263,
ResNet-50,tri_cb,CIFAR-10_224,64,recovery,60,10237,
ResNet-50,tri_cb,CIFAR-10_224,64,overall,240,38428,
